formula,Temperature,sigma (S/cm)
Ba0.1La0.9WO4.45,923.0,0.011
Ce0.33Rh2Bi0.67O5,300.0,60.0
Cs9[UO2]8Nb5O25,552.0,2.29e-08
Cs9[UO2]8Nb5O25,1043.0,4.57e-05
Sr0.9Ce0.1MnO3 rt,298.0,108.0
Sr0.9Ce0.1MnO3 rt,373.0,150.0
Sr0.9Ce0.1MnO3 ht,423.0,450.0
Sr0.9Ce0.1MnO3 ht,1073.0,270.0
Sr0.9Ce0.1MnO3 ht,1173.0,300.0
Li4[VO][PO4]2,823.0,0.0001
Li2PtO3,400.0,2.8e-10
CuScO2 hex,298.0,0.16
Sr0.1Mg0.2La0.9Ga0.8O2.85 ht1,1000.0,0.076
Sr0.1Mg0.2La0.9Ga0.8O2.85 ht1,600.0,0.00017
Sr0.1Mg0.2La0.9Ga0.8O2.85 ht1,1073.0,0.11
Ag4[PO4]I,298.0,3.0000000000000004e-08
Ag4[PO4]I,463.0,0.0069999999999999
Na0.4Ca0.6Al1.6Si2.4O8 alb,804.0,2.5e-06
Na0.4Ca0.6Al1.6Si2.4O8 alb,10.0,1.3e-11
BaAg2Te2,298.0,0.07
BaCu2Te2,298.0,126.0
BaAgCuTe2,298.0,0.2
Na7In4[PO4][P2O7]4 rt,300.0,0.000833
Na7In4[PO4][P2O7]4 rt,300.0,5.5e-07
Na7In4[PO4][P2O7]4 rt,419.0,1e-08
Na7In4[PO4][P2O7]4 rt,419.0,1.8e-10
Na7In4[PO4][P2O7]4 rt,463.0,2.7e-10
Na7In4[PO4][P2O7]4 rt,678.0,4.6e-06
Na7In4[PO4][P2O7]4 rt,678.0,8.1e-10
Na7In4[PO4][P2O7]4 rt,678.0,8.1e-10
Na7In4[PO4][P2O7]4 rt,783.0,6e-09
Na7In4[PO4][P2O7]4 rt,678.0,4.6e-06
Na7In4[PO4][P2O7]4 rt,678.0,8.1e-10
Na7In4[PO4][P2O7]4 rt,678.0,8.1e-10
Na7In4[PO4][P2O7]4 rt,783.0,6e-09
Na7In4[PO4][P2O7]4 rt,880.0,8.5e-05
Na7In4[PO4][P2O7]4 rt,880.0,3.8e-08
Na7In4[PO4][P2O7]4 rt,880.0,3.8e-08
Sr1.9Nd0.1TiO4,350.0,52.6
Sr1.9La0.1TiO4,350.0,51.7
Sr2.7Nd0.3Ti2O7,350.0,176.0
Sr2.7La0.3Ti2O7,350.0,148.0
Zn1.925Ti0.85Ta0.15O4 cub,1273.0,0.00075
Li5Nd3Ta2O12,573.0,1e-08
Li2[UO2]3[PO4]2O,555.0,4.0000000000000003e-07
Li[UO2]4[PO4]3,555.0,2e-05
Cd0.75Cr2Sb0.25Se4 rt,490.0,1.67e-07
Cd0.75Cr2Sb0.25Se4 rt,307.0,1.1e-09
[NH4]V[AsO4]F,298.0,6.440000000000001e-05
Ag3[UO2]7[VO4]5O,800.0,0.008
Li3[UO2]7[VO4]5O,800.0,0.006
Cs2Hg2USe5,298.0,0.003
Mg0.05CuCr0.95O2,298.0,10.0
Mg0.05CuCr0.95O2,26.0,0.004
InSn2Bi3Se8,298.0,78.59
In0.2Sn6Bi1.8Se9,298.0,19.74
HK3[SeO4]2 ht,400.0,0.025
Ti0.33Fe0.33Sb0.33O2,298.0,1.2000000000000004e-07
Ti0.33Fe0.33Sb0.33O2,625.0,0.00012
SrTi2TaBi3O12,1073.0,3e-06
SrTi2TaBi3O12,1173.0,1.8e-05
Pb0.5Sn2.5Bi2Se6,298.0,12.5
LaCo0.5Rh0.5O3,298.0,0.2
LaCo0.5Rh0.5O3,100.0,6.6e-06
Ba2LaNb4MnO15,298.0,6.9e-09
Sn6Bi2Se9,298.0,189.0
Pb3Sn3Bi2Se9,298.0,355.0
Sr0.92NbO3 ht1,1670.0,0.02
Sr0.92NbO3 ht1,1670.0,0.1
Ag6SnS4Br2,210.0,0.00016
Ag6SnS4Br2,235.0,0.0022
Ag6SnS4Br2,298.0,0.0144999999999999
Ag6SnS4Br2,235.0,0.0022
Mg0.2LaCo0.8O3,1000.0,86.0
Mg0.2LaCo0.8O3,298.0,2.67
CaCu3Ti3.6Sn0.4O12,500.0,0.003
CaCu3Ti3.6Sn0.4O12,298.0,3.2e-05
Ba0.1Mn2Bi0.9O5,298.0,1.7e-07
Ba0.1Mn2Bi0.9O5,298.0,7.000000000000001e-10
Ba0.1Mn2Bi0.9O5,298.0,13.0
YPrRu2O7,673.0,43.0
YPrRu2O7,1023.0,110.0
CeRh2O5,300.0,4e-08
Ce0.55Rh2O4,300.0,0.6
Li0.33AgIr0.67O2,300.0,0.017
Li0.33AgRh0.67O2,300.0,9.0
Cu3P8Se6I3,293.0,0.000117
Cu3P8Se6I3,233.0,1.2e-06
SrBr2 ht,915.0,0.625
SrBr2 ht,930.0,0.7
Sr0.25La0.75CrO3 rt,1675.0,12.6
Sr0.25La0.75CrO3 rt,1800.0,31.6
Sr0.25La0.75CrO3 rt,1500.0,33.0
Sr0.25La0.75CrO3 rt,300.0,6.3
Sr0.25La0.75CrO3 rt,1675.0,28.2
Ba2Ti13O22 rt,300.0,320.5
Sr1.67Cu0.2Dy0.33Ni0.8O3.46,510.0,0.4
Ca2Zn0.05Fe1.95O5 rt,393.0,0.011
Cu0.075Ti0.075V0.85Bi2O5.35 tet,1000.0,1.17
Cu0.075Ti0.075V0.85Bi2O5.35 tet,1073.0,0.021
Cu0.075Ti0.075V0.85Bi2O5.35 tet,710.0,0.0089
Cu0.075Ti0.075V0.85Bi2O5.35 tet,621.0,0.0008799999999999
Cu0.075Ti0.075V0.85Bi2O5.35 tet,770.0,0.00066
Cu0.075Ti0.075V0.85Bi2O5.35 tet,621.0,6.8e-07
CaCe0.7TiNbO6.55,873.0,0.00012
CaCe0.7TiNbO6.55,873.0,6.6e-05
CaCe0.7TiNbO6.55,298.0,2.4e-09
CaCe0.7TiNbO6.55,298.0,0.001
CaCu2.3V4Fe0.7O12,267.0,1.45
CaCu2.3V4Fe0.7O12,267.0,1.89
La0.1Y0.1Ce0.8O1.9,823.0,28.0
La0.1Y0.1Ce0.8O1.9,973.0,207.0
La0.1Y0.1Ce0.8O1.9,1123.0,838.0
YMnO3 ht,800.0,0.1
Sr0.2Pr0.8Fe0.5Co0.5O3,323.0,64.0
Sr0.2Pr0.8Fe0.5Co0.5O3,873.0,364.0
Sr0.2Pr0.8Fe0.5Co0.5O3,1073.0,142.0
Sr0.5Sm0.5Fe0.2Co0.8O3,667.0,1000.0
Sr0.5Sm0.5Fe0.2Co0.8O3,323.0,18.0
Sr0.5Sm0.5Fe0.2Co0.8O3,823.0,134.0
Sr0.5Sm0.5Fe0.2Co0.8O3,1073.0,54.0
K0.1Ca0.2La0.7MnO3,290.0,0.00026
K0.1Ca0.2La0.7MnO3,290.0,0.00082
K0.1Ca0.2La0.7MnO3,90.0,0.00015
K0.1Ca0.2La0.7MnO3,90.0,0.0002199999999999
K0.1Ca0.2La0.7MnO3,290.0,0.0002722
Cu0.99Ga0.99Sn0.01O2,298.0,1.4999999999999998e-06
K0.05Ca0.25La0.7MnO3,290.0,1.8e-05
K0.05Ca0.25La0.7MnO3,290.0,5.4000000000000005e-05
K0.05Ca0.25La0.7MnO3,290.0,1.7899999999999998e-05
SrCe0.665Yb0.05Zr0.285O2.643,580.0,1.4e-05
NaCo[SO4]F,298.0,1.46e-07
NaCo[SO4]F,298.0,9.5e-13
La4.67[SiO4]3O hp,573.0,8.34e-06
La4.67[SiO4]3O hp,773.0,0.000312
La4.67[SiO4]3O hp,573.0,1.82e-06
La4.67[SiO4]3O hp,1173.0,0.00963
La4.67[SiO4]3O hp,1073.0,8600.0
LaTi0.5Cr0.5O3,1273.0,0.2
LaTi0.5Cr0.5O3,322.0,0.00075
Na0.001Cu0.999InS2,298.0,6.8e-05
GdMn0.5Co0.5O3 orth,77.0,9.999999999999999e-10
La4Fe0.9Ni2.1O10,573.0,46.0
La4Fe0.9Ni2.1O10,293.0,32.0
Cu0.5Zn0.5FeGaO4,294.0,3.94e-08
Cu0.5Zn0.5FeGaO4,294.0,7.16e-07
Sr0.10Mg0.15La0.90Ni0.20Ga0.65O2.78,1230.0,1.0
Sr0.10Mg0.15La0.90Ni0.20Ga0.65O2.78,321.0,0.003
Mg0.15La0.5Pr0.5Ni0.2Ga0.65O3,1230.0,0.025
Mg0.15La0.5Pr0.5Ni0.2Ga0.65O3,485.0,0.0019
CsPb3Bi3Te8,80.0,500.0
CsPb3Bi3Te8,350.0,410.0
CsPb4Bi3Te9,300.0,410.0
CsPb4Bi3Te9,80.0,460.0
CsPb4Bi3Te9,350.0,400.0
Zn4.03Yb9Bi9,300.0,180.0
SrCu0.5Nb0.5O2.625,298.0,4e-06
Li0.22La0.67Ti0.78Cr0.22O3 ht,667.0,0.0046999999999999
La0.25Bi0.75O1.5 ht3,417.0,1.9300000000000002e-07
La0.25Bi0.75O1.5 ht3,833.0,0.0274
La0.25Bi0.75O1.5 ht3,1000.0,0.27
La0.25Bi0.75O1.5 ht3,870.0,0.078
La0.18W0.011Pb0.034Bi0.775O1.5,1060.0,0.19
La0.18W0.011Pb0.034Bi0.775O1.5,572.0,0.000105
Nb3Se12I rt,298.0,0.5
Li3Cu2SbO6,573.0,1.0000000000000001e-07
[NH4]2Pt[C2O4]2[H2O]2,298.0,1e-05
CaNdCrO4 rt,858.0,30.0
CaNdCrO4 rt,290.0,0.55
Ca1.8Nd0.2MnO4 rt,300.0,14.0
Ca1.6Nd0.4MnO4,300.0,0.63
ZnLa2MnO6,923.0,0.054
In0.1Ge0.8Sb0.033Te rt,328.0,310.0
Zn0.5Cd0.5Se0.5S0.5 cub,160.0,2e-06
Zn0.5Cd0.5Se0.5S0.5 cub,500.0,0.00097
Zn0.5Cd0.5Se0.5S0.5 cub,160.0,8e-06
Zn0.5Cd0.5Se0.5S0.5 cub,500.0,0.0015
Ba0.5Sr0.5FeO3,473.0,3.29
W0.5Mo0.5SeS,298.0,3.2e-05
Sr0.67Ce0.33FeO3,333.0,10.0
Sr0.8Ce0.2CoO3,364.0,300.0
Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8 ht,1073.0,0.1
Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8 ht,1073.0,0.089
Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8 rt tet,1073.0,1.8
Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8 rt tet,1073.0,0.56
Sr0.9Ce0.1Fe0.5Co0.5O3,335.0,50.0
Sr0.25Mg0.16La0.75Fe0.04Ga0.8O2.795,1073.0,0.8
Sr0.25Mg0.16La0.75Fe0.04Ga0.8O2.795,1073.0,1.02
Sr0.25Mg0.16La0.75Fe0.04Ga0.8O2.795,1073.0,0.085
Ce0.833Sm0.147Tb0.02O1.927,873.0,0.01
Ce0.747Pr0.1Sm0.153O1.915,873.0,0.0076
Sr0.1Mg0.2La0.9Mn0.08Ga0.72O2.85,1073.0,0.049
Sr0.1Mg0.2La0.9Cr0.08Ga0.72O2.85,1073.0,0.071
Ce0.5Bi0.5O1.75,873.0,0.0141999999999999
K5Zn0.5Zr1.5[MoO4]6,673.0,0.00184
Mg0.5Tl5Zr1.5[MoO4]6,673.0,0.00074
Mg0.5Tl5Zr1.5[MoO4]6,673.0,7.4e-06
Tl5Zn0.5Zr1.5[MoO4]6,673.0,0.0010299999999999
U0.3Np0.7O2,1273.0,4.0
Yb8Ge3Sb5,300.0,980.0
Co4In0.2Sb12,298.0,1151.0
BaNdCo2O5.85,298.0,330.0
BaNdCo2O5.85,298.0,160.0
Mg2Sn0.6Sb0.02Si0.38,298.0,0.3
Sr0.95Gd0.05TiO3,298.0,1065.0
Sr0.95Gd0.05TiO3,298.0,1060.0
Cr2FeO4 lt orth,98.0,5.6e-05
Cr2FeO4 lt orth,80.0,5.3e-06
H7K9[SO4]8[H2O],300.0,7.499999999999999e-07
H7K9[SO4]8[H2O],303.0,3.2e-07
H7K9[SO4]8[H2O],303.0,1.2000000000000004e-07
H7K9[SO4]8[H2O],417.0,0.00171
H7K9[SO4]8[H2O],417.0,0.0011
H7K9[SO4]8[H2O],417.0,0.0003599999999999
H7K9[SO4]8[H2O],417.0,0.004
NaEuTi2Ta2WPbO15 rt,298.0,2e-08
NaEuTi2Nb2WPbO15 rt,322.0,7e-08
Sr0.5Ca0.5B6,600.0,1700.0
La0.57Nd0.1Ti0.2Mn0.8Pb0.33O3,290.0,0.0015359999999999
Li5.5La3Nb1.75In0.25O12,323.0,0.0001799999999999
Li5.5La3Nb1.75In0.25O12,473.0,0.035
Li5.5La3Nb1.75In0.25O12,298.0,1.6e-05
Na0.85Nb0.85Mn0.15Bi0.15O3 rt,328.0,1.9e-13
La0.9MnTe0.1O3,520.0,2.3
La0.9MnTe0.1O3,300.0,0.17
La0.9MnTe0.1O3,520.0,5.3
La0.9MnTe0.1O3,300.0,1.9
K0.25Li5.5La2.75Nb2O12,323.0,6e-05
K0.25Li5.5La2.75Nb2O12,473.0,0.0139999999999999
K0.25Li5.5La2.75Nb2O12,298.0,7.8e-06
Ba0.425Sr0.425Sm0.15Fe0.2Co0.8O3,573.0,29.9
Ba0.425Sr0.425Sm0.15Fe0.2Co0.8O3,773.0,67.2
Ba0.425Sr0.425Sm0.15Fe0.2Co0.8O3,1073.0,55.0
Zn1.55In0.9Sn0.55O4,298.0,0.3
Cd1.7In0.6Sn0.7O4,298.0,3500.0
Ba0.93Mg0.5Zn0.5La0.07Fe16CoO27,600.0,0.00062
Ba0.93Mg0.5Zn0.5La0.07Fe16CoO27,600.0,7.900000000000001e-05
Ba0.93Mg0.5Zn0.5La0.07Fe16CoO27,298.0,0.00012
Ba0.93Mg0.5Zn0.5La0.07Fe16CoO27,298.0,1.7e-05
Ba0.93Mg0.5Zn0.5La0.07Fe16CoO27,298.0,4.85e-06
Ca0.2Co4Sb12,298.0,0.33417
Ca0.2Co4Sb12,790.0,360.0
Ca0.1La0.6Co4Sb12,298.0,1.24436
Ca0.1La0.6Co4Sb12,473.0,1130.0
BaFe1.92Co0.08As2 rt,10.0,10700.0
BaFe1.92Co0.08As2 rt,10.0,1700.0
BaFe1.92Co0.08As2 rt,10.0,5800.0
BaFe1.92Co0.08As2 rt,10.0,2100.0
BaFe1.92Co0.08As2 rt,200.0,3000.0
K2CuCl4[H2O]2,316.0,1.9999999999999997e-09
K2CuCl4[H2O]2,316.0,1.9999999999999997e-09
Cr0.1Fe0.9BiO3,298.0,5.05e-11
B0.38C0.62 ht-hp,0.0,3260000000.0
Zr0.5Ti0.5NiSn rt,330.0,5.54e-06
Hf0.5Zr0.5NiSn,330.0,1.46e-06
CsNb2BiO7,523.0,3.8e-06
La5NbMo2O16,714.0,4.52e-05
Ti0.995Mn0.005Bi12O20,373.0,3.98e-05
Zr0.9Nb0.1NiSn,773.0,1120.0
CaCu3Ti3.5V0.5O12,298.0,1.84e-07
LiMnCoO4,293.0,0.00013
PtPb0.4Bi1.6O4,250.0,8.11
Cu0.962Pd0.038Pb0.075Bi1.925O4,250.0,0.0018599999999999
Cu0.785Pt0.215Pb0.43Bi1.57O4,250.0,0.0501999999999999
PdPb0.075Bi1.925O4,250.0,0.123
Y1.92Co0.08O2.96,1273.0,3.8e-05
Y1.92Co0.08O2.96,773.0,4.3e-08
Y1.92Co0.08O2.96,1273.0,1.8e-06
Y1.92Co0.08O2.96,773.0,3.4e-09
Li1.33Rh0.67O2 rt,298.0,0.04
Ba0.58Ti2.84Ga1.16O8,373.0,4e-05
Sr0.95Y0.05TiO3,298.0,117.0
Sr0.95Y0.05TiO3,298.0,115.0
Na2Ni2[TeO6],298.0,2.1e-05
Na2Ni2[TeO6],573.0,0.105
Na2Co2[TeO6],298.0,4.4e-06
Na2Co2[TeO6],573.0,0.0375
Ca0.985Sm0.01[MoO4],773.0,0.000151
Ca0.985Sm0.01[MoO4],1073.0,0.00954
Ba0.8La0.2TiO3,497.0,4.8e-08
Ba0.8La0.2TiO3,398.0,1.2000000000000004e-07
Ba0.8La0.2TiO3,450.0,9.000000000000001e-07
Ba0.8La0.2TiO3,725.0,9.000000000000001e-07
Ca0.17La0.83Cr0.5Fe0.5O2.92,1073.0,0.36
Ca0.17La0.83Cr0.5Fe0.5O2.92,1073.0,0.046
La0.25Ce0.5Sm0.25O1.75,873.0,0.0107
La0.25Ce0.5Sm0.25O1.75,873.0,0.00645
Ti6O11 lt1,120.0,0.00016
V6O13 lt,96.0,1.0000000000000001e-07
V6O13 lt,150.0,1e-05
Fe2O3 tet,298.0,0.05
[C60] lt,240.0,1e-08
BaC6,300.0,100000.0
Li10B103 rhom1,300.0,0.08
K6Cu12U2S15 rt,298.0,1500.0
K6Cu12U2S15 rt,6.0,7500.0
HK[CO3] ht,320.0,5.2e-08
HK[CO3] ht,360.0,4.2e-11
BaBiO3 tricl,298.0,3.16e-05
Ru0.5Co2.5O3.87,1073.0,165.0
Ru0.5Co2.5O3.87,298.0,0.021
TlI tf,300.0,9.999999999999999e-10
TaS2 lt hex2,35.0,150.0
TaS2 lt hex2,298.0,170.0
Li1.2TiAl0.2Ge0.8[PO4]3,510.0,0.0023
Au0.5ThAlSi1.5,300.0,3800.0
Au3Th2Al4Si2,300.0,3200.0
Au5Th2Al8Si2,300.0,5400.0
Ba3ZnTa2O9 rt,298.0,2.4999999999999996e-10
Yb3Ga4Ge6,298.0,7000.0
RbKBi8Se13,298.0,730.0
Sm2Ni1.23Al4Si6.77,300.0,4390.0
Sr0.1Mg0.1La0.9Ga0.9O2.9 ht,873.0,0.00025
Sr0.1Mg0.1La0.9Ga0.9O2.9 ht,1073.0,0.0023
Sr0.1Mg0.1La0.9Ga0.9O2.9 ht,769.0,0.00546
Sr0.1Mg0.1La0.9Ga0.9O2.9 ht,1000.0,0.048
Sr0.1Mg0.1La0.9Ga0.9O2.9 ht,1073.0,0.121
AgBi2.7Sb0.3S5,298.0,260.0
AgBi2.7Sb0.3S5,80.0,344.0
AgBi2.7Sb0.3S5,400.0,200.0
Tm7Bi17O36 rt,833.0,0.000147
Cs3W4[PO4]4O7[H2O],873.0,0.00026
Cs3W4[PO4]4O7[H2O],573.0,1e-06
Lu7Bi17O36 rt,833.0,0.000256
Ag5Te1.6Se0.4Cl rt,312.0,0.000278
H3[NH4]Cu2[MoO4]2O2,295.0,4.17e-07
BaPb0.75Bi0.25O3 lt,298.0,300.0
Li[N2H5][SO4],300.0,1.9999999999999997e-09
Li[N2H5][SO4],300.0,1e-14
Li[N2H5][SO4],300.0,1e-14
SrTa2Bi2O9 ht2,667.0,1.2e-06
SrTa2Bi2O9 ht2,588.0,3e-07
SrTa2Bi2O9 ht2,720.0,3e-06
MgLa2RhO6,300.0,0.15
ZnLa2RhO6,300.0,0.03
[NH4]2SbF5 lt1,270.0,1.1e-10
[NH4]2SbF5 lt1,292.0,5.3e-10
La2Ti1.8Nb0.2[SiO4]O5.1,973.0,2.3e-06
SrSc2Te4,298.0,1500.0
BaSc2Te4,298.0,2600.0
Re3GeAs6,298.0,1100.0
BaNb0.3Bi0.7O3 rt,370.0,2.6e-07
La2Ti2[SiO4]O5,973.0,5.3e-06
LaPrTi2[SiO4]O5,973.0,3.1e-06
TlFe0.22Al0.78[As2O7],683.0,5.23e-06
BaCu[C2O4]2[H2O]6 mon,308.0,1.1830000000000001e-07
H6Na0.26[NH4]1.74[TeO6][SO4] rt,365.0,9.64e-08
V[PO4]O[H2O]2,293.0,1e-05
Li[IO3] ht3,558.0,2.96e-07
Li[IO3] ht3,558.0,2.7500000000000004e-06
Li0.5Ba2.5Ti0.5Nb4.5O15,600.0,5.3700000000000006e-11
K[SO3NH2],298.0,1.52e-08
K[SO3NH2],298.0,7.12e-06
K[SO3NH2],298.0,1.11e-05
K[SO3NH2],350.0,3.0000000000000004e-08
K[SO3NH2],350.0,7e-11
K[SO3NH2],350.0,4.999999999999998e-10
K[SO3NH2],350.0,6e-11
K[SO3NH2],350.0,5e-11
K[SO3NH2],433.0,1.9e-08
K[SO3NH2],433.0,6e-07
K[SO3NH2],433.0,8e-08
K[SO3NH2],350.0,3.0000000000000004e-08
K[SO3NH2],350.0,7e-11
K[SO3NH2],350.0,4.999999999999998e-10
K[SO3NH2],350.0,6e-11
K[SO3NH2],350.0,5e-11
K[SO3NH2],433.0,1.8e-06
KSbF6,360.0,9.8e-06
KSbF6,456.0,7.5e-05
Hg2.87SbF6 lt,298.0,1300.0
Lu2[WO4]3,873.0,6e-05
Lu2[WO4]3,873.0,3.9e-05
Ca2Zn4Ti16O38,723.0,4.3e-06
Ca2Zn4Ti16O38,1024.0,0.0023
CsCu4I2Cl3 ht2,431.0,0.76
CsCu4I2Cl3 ht2,419.0,0.72
CsCu4I2Cl3 ht2,298.0,0.29
Hg2.86AsF6,298.0,8700.0
Li[IO3] ht1,520.0,3.16e-07
Li[IO3] ht1,520.0,2.88e-06
Zn5FeInO8,1073.0,282.0
Ba2YFe3O8 tet1,284.0,0.04
Cu0.75La2Co0.25O4.10,298.0,2.69
Cu0.75La2Co0.25O4.10,298.0,5.47
Cu0.75La2Co0.25O4.10,298.0,0.27
Cu0.75La2Co0.25O4.10,298.0,4.59e-05
K2Nd2Ti3O10,500.0,2.5e-07
AgCuHgI4 rt,303.0,3.1e-06
AgCuHgI4 rt,303.0,6.2e-06
BaCa0.34Er1.66NiO5,298.0,4.2e-05
HNa3[SO4]2 rt,313.0,1.2e-05
HNa3[SO4]2 rt,313.0,3.5e-06
HNa3[SO4]2 rt,313.0,8.9e-06
HNa3[SO4]2 rt,313.0,6.300000000000001e-06
Ca0.2Ce0.8O1.8,973.0,0.0192
Ca0.2Ce0.8O1.8,873.0,0.00387
Ca0.2Ce0.8O1.8,1173.0,0.079
Mo0.5Fe0.5N,298.0,1032.0
K1.27Na0.23Ga10.77O16.91,423.0,0.129
K1.27Na0.23Ga10.77O16.91,757.0,0.669
K1.27Na0.23Ga10.77O16.91,300.0,0.02
K1.27Na0.23Ga10.77O16.91,423.0,0.000316
Sr2FeO4,300.0,5.62e-06
Ti6FeBi9O27,298.0,1e-08
Ti6FeBi9O27,298.0,1.05e-07
Sn12P9.65I4,33.3,0.0776999999999999
Sn12P9.65I4,298.0,16.5
Li3.2Si0.2P0.8S4,573.0,0.13
Li3.2Si0.2P0.8S4,300.0,0.00064
Li4.04Al0.4Si0.6S4,563.0,0.0036
Li4.04Al0.4Si0.6S4,363.0,7.8e-06
Li4.04Al0.4Si0.6S4,298.0,2.3e-07
Na2Mn2Ga[PO4]3,873.0,0.0001099999999999
Na2Mn2Ga[PO4]3,848.0,4.42e-05
Na2Mn2Ga[PO4]3,598.0,5.1e-07
Na2Cd2Ga[PO4]3,848.0,8.85e-05
Na2Cd2Ga[PO4]3,598.0,8.000000000000001e-07
Na2Cd2Ga[PO4]3,873.0,1.2000000000000004e-07
Na2Cd2Ga[PO4]3,873.0,3.6e-08
Na2Cd2Ga[PO4]3,648.0,1.7e-08
Na2Cd2Ga[PO4]3,648.0,1.5e-10
LiAl[SiO4] euc-alpha,473.0,2.4e-06
VMo4Bi13O34,423.0,3.0000000000000004e-08
VMo4Bi13O34,1026.0,0.0053
V0.25W0.75Sb2O5.75,333.0,1e-05
V0.1W0.9Sb2O5.9,333.0,1.0000000000000001e-07
LiCaPb3[PO4]3,700.0,9.3e-13
LiCaPb3[PO4]3,1000.0,1.2000000000000004e-07
Pt2Pb0.7Bi0.3O4,298.0,10.0
Pt2Pb0.7Bi0.3O4,298.0,100.0
BaCuTmFeO5,300.0,8.4e-08
BaCuTmFeO5,1000.0,0.17
Tb0.675Bi2.325O4.5,673.0,7.08e-05
La0.105V0.045Bi0.85O1.545 m,472.0,1.2e-05
La0.105V0.045Bi0.85O1.545 m,1045.0,0.46
Tb0.105V0.045Bi0.85O1.545 m,474.0,3.1e-06
Tb0.105V0.045Bi0.85O1.545 m,1045.0,0.32
Sm0.105V0.045Bi0.85O1.545 m,492.0,2.6e-05
Sm0.105V0.045Bi0.85O1.545 m,1066.0,0.33
Yb0.105V0.045Bi0.85O1.545 m,474.0,2.1e-07
Yb0.105V0.045Bi0.85O1.545 m,667.0,0.00027
Ho0.105V0.045Bi0.85O1.545 m,474.0,7.2e-07
Ho0.105V0.045Bi0.85O1.545 m,667.0,0.0012
Gd0.105V0.045Bi0.85O1.545 m,474.0,5.6e-06
Gd0.105V0.045Bi0.85O1.545 m,1045.0,0.37
Rb6[UO2]2[MoO4]4O,473.0,2e-10
Sm0.53Ni2Ga4.56Ge0.44,298.0,6000.0
Sm0.53Ni2Ga4.56Ge0.44,298.0,3500.0
Sm0.67Ni2Ga5.94Si0.06,298.0,6000.0
Sm0.67Ni2Ga5.94Si0.06,298.0,3500.0
BaY2Te4,298.0,400.0
Ca4.74Ir3O12,298.0,0.872
Ca4.74Ir3O12,1023.0,7.38
BaCuSeF,298.0,0.06
BaCuSF,298.0,0.09
Sr0.5Mg0.25La0.5Ru0.75O3,1073.0,360.0
Sr0.5Mg0.25La0.5Ru0.75O3,673.0,400.0
CuYSeO,298.0,0.14
Ca2Nb0.15Mn0.85O4 lt,476.0,0.1325
LaNi0.5Ga0.5O3,873.0,36.0
LaNi0.5Ga0.5O3,1173.0,40.0
LaNi0.5Ga0.5O3,873.0,1.0
LaNi0.5Ga0.5O3,1173.0,1.5
LaNi0.5Ga0.5O3,1073.0,0.0033
LaNi0.5Ga0.5O3,1223.0,0.0087
K7Pt4[CN]16[H2O]6 rt,295.0,25.0
K7Pt4[CN]16[H2O]6 rt,330.0,60.0
K2Pt[CN]4[H2O]3,298.0,7.999999999999999e-09
K1.49Bi5.55Sb2.97Se13,298.0,51.0
Co0.83Pt[C2O4]2[H2O]6 lt,298.0,23.0
Co0.83Pt[C2O4]2[H2O]6 lt,298.0,0.3
Cs2Pt[CN]4Cl0.30,298.0,106.0
[NH4]2Pt[CN]4Cl0.3[H2O]3,298.0,0.4
[NH4]2Pt[CN]4Cl0.3[H2O]3,100.0,1e-05
[NH4]2Pt[CN]4Cl0.3[H2O]3,250.0,0.1
K2[UO2]2[MoO4]O2,873.0,5.2e-05
K8[UO2]8Mo3O21,873.0,2.4e-05
SrFe0.3Sn0.7O3,298.0,1.8e-07
Rb6Bi4[PO4]2[P2O7]3,640.0,2.45e-07
K3Cr3[AsO4]4,703.0,4.61e-05
Na0.5TiBi0.5O3 ht1,593.0,5.6200000000000014e-08
LaMo8O14 orth2,298.0,1.0
Mo5PbBi12O34,667.0,8.100000000000001e-07
Mo5PbBi12O34,980.0,0.000104
Mo5PbBi12O34,753.0,5.999999999999999e-06
Mo5PbBi12O34,973.0,0.0002
Mo5PbBi12O34,423.0,9.999999999999999e-10
Mo5PbBi12O34,962.0,0.001
SmMo8O14,298.0,49.5
Sr2Ti0.19Ru0.81O4,300.0,17.0
Li2Sr1.5Nb3O10,648.0,4.8e-05
Li2Sr1.5Nb2.88Fe0.12O9.88,663.0,9.6e-05
Li2.5Ga0.5[GeO4] ht,300.0,3.47e-06
Li2.5Ga0.5[GeO4] ht,300.0,7.94e-07
Ba2CaIrO6,300.0,0.0032
Ba2SrIrO6 rt,300.0,0.000251
Ce0.6Fe2.9Ni1.1Sb12,298.0,1170.0
Ce0.6Fe2.9Ni1.1Sb12,800.0,840.0
Sb8Te9,298.0,6000.0
[H3O]Zr2[PO4]3 rt,298.0,2.1e-08
K8Nd3Si12O32[OH],623.0,4.5e-05
K8Nd3Si12O32[OH],623.0,4.5e-05
K4Nd2Si8O21,873.0,800000.0
K4Nd2Si8O21,873.0,1300000.0
K4Nd2Si8O21,298.0,1100000.0
V0.85Ni0.15Bi2O5.225,300.0,0.00171
V0.9Pb0.2Bi1.9O5.3,500.0,3.98e-06
CaV0.5Mo0.5O3,298.0,3600.0
CaV0.5Mo0.5O3,100.0,5400.0
