formula,Temperature,sigma (S/cm)
CrSi2,700.0,101.0
CrSi2,355.0,223.0
CrSi2,350.0,165.0
CrSi2,700.0,50.0
Ga2O3 ht,1175.0,0.01
GaP rt,298.0,7.492999999999999e-17
Mg2Ge rt,650.0,51.4
ZrH1.8,298.0,14600.0
InP rt,298.0,3.089e-08
In2S3 rt,303.0,0.00302
InSb rt,298.0,9350.0
InSb rt,298.0,266.5
InSb rt,1.8,19.3
InSb rt,77.0,75.0
Li12Si7,293.0,1e-06
Li12Si7,510.0,0.0025
NiS2 rt,298.0,200.0
NiS2 rt,673.0,500.0
Pr2O3 rt,1420.0,1.75
Pr2O3 rt,673.0,3e-07
Pr2O3 rt,873.0,2.6e-06
Pr2O3 rt,923.0,3.45e-06
Pr5O9 rt,778.0,0.048
Pr6O11 rt,873.0,0.084
Pr6O11 rt,380.0,4e-06
Pr7O12 rt,838.0,0.141
Pr7O12 rt,973.0,0.26
Pr7O12 rt,973.0,0.265
Pr7O12 rt,873.0,0.017
Pr7O12 rt,365.0,1e-06
Pr9O16 rt,838.0,0.115
Pr9O16 rt,778.0,0.055
Pr9O16 rt,838.0,0.109
Pr9O16 rt,838.0,0.114
SnO2 rt,900.0,0.001
SnO2 rt,300.0,0.005
SnO2 rt,220.0,1.3
SnO2 rt,80.0,0.00075
SnO2 rt,134.0,0.067
SnO2 rt,523.0,0.21
WO3 rt,120.0,1.0
WO3 rt,250.0,0.066
WO3 rt,298.0,3.34e-08
WO3 rt,298.0,0.006
PbSe,298.0,240.0
PbSe,298.0,14.25
PbSe,298.0,1.25
PbSe,400.0,0.00373
PbSe,400.0,0.0115
PbSe,345.0,0.051
PbSe,298.0,0.027
PbSe,298.0,524.0
PbSe,90.0,0.0365
PbSe,320.0,0.013
PbSe,400.0,0.0432
Sb2Se3 rt,300.0,1e-05
Sb2Se3 rt,298.0,1.02e-06
Zn3As2 rt,42.0,25.0
Zn3As2 rt,298.0,6.0
B13C2,295.0,11.0
B13C2,20.0,6.0
B13C2,295.0,21.0
B13C2,273.0,7.0
B13C2,295.0,5.0
B13C2,273.0,1.0
B13C2,295.0,6.0
B13C2,273.0,1.0
B13C2,295.0,11.5
B13C2,273.0,2.0
B13C2,295.0,3.0
TlBr rt,568.0,0.00021
TlBr rt,730.0,0.0031
Zn0.04Cd0.96,373.0,87300.0
Zn0.04Cd0.96,533.0,26500.0
HfC,298.0,14000.0
InCl rt,305.0,1e-08
CoS ht,298.0,6000.0
CoS ht,700.0,4000.0
Co9S8 rt,298.0,10000.0
Co9S8 rt,573.0,6000.0
FeS2 ht,298.0,0.0069999999999999
FeS2 ht,298.0,2.3
FeS2 ht,298.0,0.02
FeSi,300.0,1500.0
FeSi,5.0,0.39
FeSi2,300.0,0.02
[H2O] lt hex,298.0,1.0000000000000001e-07
Mg2Sn,750.0,576.0
Mn3O4 rt,545.0,4.5500000000000004e-07
Mn3O4 rt,1200.0,0.3
Mn3O4 rt,1173.0,0.1
MnO rt,1673.0,13.5
MoO3 rt,745.0,5e-06
MoO3 rt,685.0,7e-08
NbO2 rt,290.0,0.0001
NbO2 rt,965.0,1.0
NbO2 rt,175.0,1e-08
NbO2 rt,500.0,0.1
NbO2 rt,300.0,2.5e-05
NbO2 rt,1270.0,800.0
NiO ht,1095.0,0.086
NiO ht,1685.0,2.5
NiO ht,298.0,6.5e-08
NiO ht,630.0,0.58
NiO ht,1540.0,0.75
NiO ht,1115.0,0.062
NiSe2,298.0,5500.0
NiSe2,773.0,2500.0
NiSe ht,298.0,20000.0
NiSe ht,673.0,10000.0
Tb11O20 rt,473.0,6.3e-10
Tb11O20 rt,573.0,4.4700000000000005e-09
Tb11O20 rt,673.0,1.778e-08
Tb11O20 rt,773.0,6.095e-08
Tb11O20 rt,873.0,1.778e-07
Tb2O3 cub,473.0,3e-11
Tb2O3 cub,673.0,3e-09
Tb2O3 cub,923.0,2.0000000000000002e-07
TbO2,473.0,2.4999999999999996e-10
Ti3O5 ht,300.0,35.0
Ti3O5 ht,300.0,740.0
Ti3O5 ht,120.0,0.00935
Ti4O7 rt,1600.0,450.0
Ti4O7 rt,300.0,1500.0
Ti4O7 rt,300.0,1480.0
Ti4O7 lt2,120.0,0.00149
Ti5O9 rt,300.0,1540.0
Ti6O11 rt,300.0,1100.0
Ti6O11 rt,300.0,110.0
Ti8O15,120.0,0.177
TiO2 rut,790.0,1.3e-07
TiO2 rut,1064.0,4.2e-10
TiO2 rut,298.0,0.03
TiO2 rut,298.0,0.01
TiO2 rut,80.0,0.2
TiO2 rut,250.0,0.019
TiO2 rut,300.0,1.4
TiO2 rut,1270.0,7.8
V2O3 rt,110.0,2.4e-08
V2O3 rt,295.0,500.0
V2O3 rt,149.0,8e-05
V2O3 rt,150.0,500.0
V2O3 rt,161.0,0.0018
V2O3 rt,162.0,89.0
W18O49 ht,298.0,364.0
PbTe rt,298.0,5329.6
PbTe rt,298.0,108.0
PbTe rt,298.0,3169.05
PbTe rt,736.0,438.976
PbTe rt,345.0,0.225
PbTe rt,298.0,0.138
PbTe rt,295.0,340.0
PbTe rt,295.0,190.0
PbTe rt,295.0,90.0
PbTe rt,295.0,31.0
PbTe rt,295.0,29.0
PbTe rt,295.0,190.0
PbTe rt,295.0,34.0
PbTe rt,295.0,28.0
PbTe rt,295.0,6.3
PbTe rt,295.0,4.8
PbTe rt,300.0,570.0
PbTe rt,320.0,140.0
PbTe rt,298.0,72.315
SnSe rt,298.0,6.2e-07
SnSe rt,300.0,0.23
VSe2 rt,298.0,21000.0
Sm3S4 ht,300.0,1.0
Sm3S4 ht,75.0,6.9e-07
Sm3S4 ht,335.0,0.045
SmS,298.0,250000.0
SmS,10.0,600.0
SmS,90.0,1000.0
SmS,298.0,37.0
SmS,150.0,13.0
TiS3,300.0,0.4
TiS3,36.0,0.008
TiS3,58.0,1.0
Ag0.5Au0.5 rt,298.0,140000.0
Ag2S ht1,473.0,100.0
CeAl2,280.0,12000.0
CeAl2,1.5,62500.0
BaF2 rt,555.0,2.400000000000001e-07
