formula,Tc
PdPb2,3.02
PdPb2,2.95
Tl0.4Pb0.6,5.9
Tl0.4Pb0.6,6.88
Tl0.4Pb0.6,6.73
Tl0.4Pb0.6,6.98
Tl ht,1.45
Tl ht,1.9
PtSi,0.88
PtSi,0.56
Re0.9Si0.1,5.2
Re2Si,3.8
ReSi ht,1.45
Ta0.6Re0.4,3.458
Ta0.6Re0.4,2.77
Ta0.6Re0.4,2.08
Ta0.6Re0.4,1.49
Ta0.6Re0.4,0.75
Ta0.6Re0.4,0.21
Ta0.3Re0.7,1.46
Ta0.3Re0.7,6.78
Ta0.3Re0.7,6.6
Ta0.5Re0.5 ht,1.4
W0.08Re0.92,9.4
W0.08Re0.92,9.4
W0.71Re0.29,6.75
W0.25Re0.75 rt,9.0
W0.25Re0.75 rt,7.4
W0.25Re0.75 rt,7.8
W0.25Re0.75 rt,7.8
W0.5Re0.5,5.12
RhTe2 rt,1.51
Zr0.99Ru0.01 rt,5.7
ZrRu2 ht,1.84
ZrRu2 ht,1.92
Ti0.9Sn0.1 rt,1.47
Ti0.9Sn0.1 rt,1.6
Ti0.89V0.11 rt,4.0
Ti0.89V0.11 rt,6.95
Ti0.89V0.11 rt,7.1
Ti0.89V0.11 rt,7.3
Ti0.89V0.11 rt,7.15
Ti0.89V0.11 rt,7.15
Ti0.89V0.11 rt,5.75
Ti0.89V0.11 rt,6.425
Ti0.5V0.5,6.14
Ti0.5V0.5,5.3
U0.3Zr0.7 ht,0.65
U0.3Zr0.7 ht,0.93
U0.3Zr0.7 ht,1.27
ZrV2 rt,8.7
ZrV2 rt,26.0
ZrV2 rt,25.3
ZrV2 rt,8.1
ZrV2 rt,17.0
ZrV2 rt,8.8
ZrV2 rt,8.0
ZrV2 rt,8.0
ZrV2 rt,8.9
Au0.862Al0.138,0.385
Au0.862Al0.138,0.008
Au0.862Al0.138,0.088
AuAl2,0.1
Ag0.75Al0.25 rt,0.34
Ag0.88Sn0.12,0.1
Ag3Sn rt,3.74
Li0.1Al0.9,1.05
Pb,7.196
Pb,7.5
Pb,7.19
Pb,7.1
Pb,6.8
Pb,7.2
Pb,7.17
Pb,7.205
Pb,7.17
Pb,7.23
Pb,7.12
Pb,6.36
Pb,7.5
Pb,6.2
Pb,7.21
Pb,7.18
V0.75Al0.25 hp-rt,1.82
VAl10,1.53
VAl10,1.5
VAl10,1.49
VAl10,1.49
VAl10,1.7
VAl10,1.6
YAl2,0.0
YAl2,0.35
As,0.31
As,0.5
As,0.2
As,0.25
As,0.19
Au2Bi ht,1.8
Au2Pb,1.18
Au2Pb,7.0
Au2Pb,6.95
AuPb2,3.1
AuPb2,3.15
AuPb2,4.3
AuPb2,3.15
AuPb3 ht,4.4
AuPb3 ht,4.25
AuPb3 ht,4.4
Cd,0.517
Cd,0.59
Cd,0.91
Cd,2.8
Cd,0.77
Cd,0.52
Y0.7Ce0.3 rt,1.6
CoSi2,1.26
CoSi2,1.5
CoSi2,1.3
CoSi2,1.4
CoSi2,1.22
Ta2C rt,3.26
TaC,7.7
TaC,10.35
TaC,9.7
TaC,5.09
TaC,10.3
TaC,11.4
TaC,9.7
TaC,5.45
TaC,8.0
TaC,10.4
TaC,9.46
TaC,11.0
TaC,9.6
TaC,10.27
TaC,10.16
CuSe2,2.43
CuSe2,0.785
YC2 rt,3.86
YC2 rt,3.88
YC2 rt,3.88
YC2 rt,3.9
ZrC cub,0.05
ZrC cub,0.1
GaTe,0.17
Tl0.25Hg0.75 lt,3.86
PdIn,0.7
La3Si2,2.1
LaSi2 lt,3.0
LaSi2 rt,2.3
LaSi2 rt,2.3
LuS,0.95
Nb0.61Mo0.39,6.2
Nb0.61Mo0.39,7.46
Nb0.61Mo0.39,0.07
Nb0.61Mo0.39,0.23
Nb0.61Mo0.39,0.06
Nb0.61Mo0.39,0.9
Nb0.61Mo0.39,3.3
Nb0.61Mo0.39,5.3
Nb0.61Mo0.39,5.85
Nb0.61Mo0.39,0.6
Nb0.61Mo0.39,0.095
Nb0.61Mo0.39,6.516
Nb0.61Mo0.39,0.619
Nb0.61Mo0.39,0.147
Ta0.5Nb0.5,9.259
