formula,Bulk Modulus (GPa)
[D2] lt3 lt2,0.315
[H2] hp3,92.0
[H2] lt1/hp1,0.172
[H2] lt1/hp1,0.362
[H2] lt1/hp1,0.066
[D2] lt3 lt2,0.35
[D2] lt3 lt2,0.46
[D2] lt3 lt2,0.22
[H2] lt1/hp1,173.0
[H2] lt1/hp1,173.0
[H2] lt1/hp1,173.0
PbO2 hp2,221.0
PbO2 hp2,225.0
PbO2 hp2,141.0
PbO2 hp2,141.0
Cr8O21 rt,21.424
C dia,517.0
C dia,469.0
C dia,473.0
C dia,464.0
C dia,432.0
C dia,429.0
C dia,442.0
C dia,445.0
C dia,456.0
C dia,480.0
C dia,473.0
C dia,438.5
C dia,557.14
C dia,464.4
C dia,374.0
C dia,419.0
C dia,438.0
C dia,459.0
C dia,444.0
C dia,442.0
C dia,418.0
C dia,436.5
C dia,490.0
C dia,467.0
VCo2Ga,198.0
CuCr2Se4,112.4
CuCr2Se4,69.1
CuCr2Se4,96.0
Cr2FeS4 ht-hp,53.7
Ti5Cr8Fe16,200.0
CuGaSe2 rt,91.0
CuGaSe2 rt,66.0
CuGaSe2 rt,60.3
CuGaSe2 rt,74.3
CuGaSe2 rt,71.0
NiH hp,176.0
EuSe rt,52.0
EuSe rt,67.5
EuSe rt,52.0
EuSe rt,53.0
EuNi2Ge2,100.0
EuNi2Ge2,35.0
MnN0.89 ht,373.0
AgInS2 rt,54.1
AgInS2 rt,62.0
AgInS2 rt,62.0
Al3BC3,158.0
Al3BC3,153.0
Zr2Al3C4,196.0
CaAlSi hex,305.52
CaAlSi hex,93.96
CaAlSi hex,90.09
CaAlSi hex,264.56
CaAlSi hex,70.69
CaAlSi hex,58.18
CaAlSi hex,64.43
CaAlSi hex,58.5
CaAlSi hex,53.59
CaAlSi hex,63.41
AgAlS2,73.0
AgAlS2,74.0
MgTe hex,38.0
MgTe hex,37.6
MgTe hex,53.3
MgTe hex,32.5
MgTe rt tf,34.0
MgTe rt tf,38.0
ZnSnP2 rt,83.0
ZnSnP2 rt,82.0
YPd2Sn,125.0
PtSn1.2Sb1.8,56.1
WSi2 tf,270.0
Cd0.1Ga0.6Te,0.5
Cd0.1Ga0.6Te,0.45
CdIn2Se4 1T,49.0
Sn hp1,57.3
Sn hp1,54.8
YMn1.9Al0.1 rt,29.0
U3Al2Si3,100.0
ZnGeAs2 rt,85.0
ZnGeAs2 rt,84.0
RuIn3,90.6
RuIn3,5.02
BN hp2,391.0
BN hp2,397.0
BN hp2,373.0
Y2Co7B3,195.0
Y3Co11B4,192.0
BN hex,369.0
BN hex,36.7
BN hex,25.5
BN hex,36.7
Na[BH4] rt,19.9
LiBaH3,38.2
Hg hp2,35.0
Hg hp2,36.0
Hg hp2,81.0
RbH rt,10.0
Zn0.6Ga0.27Te,0.49
Zn0.6Ga0.27Te,0.53
ZnGeP2 rt,104.0
ZnGeP2 rt,101.0
LaNi5H7 rt,121.0
LaNi5H7 rt,119.0
LaNi5H7 rt,121.0
LiSrH3,42.8
BN rhom,33.4
BN rhom,33.4
Fe5C2 m mon,209.02
Fe5C2 m mon,229.0
HfC0.5N0.5,255.0
Ti3Nb0.75Al2.25 m,121.4
LaNi3.5Al1.5,122.4
TbNiAl,153.0
TbNiAl,153.0
CdFe2O4,4.15
CdFe2O4,161.0
Li2ZnSi,42.0
Li2ZnSi,22.0
EuH2 rt,10.17
URu2Si2,215.0
URu2Si2,247.0
TiNiSn cub,111.0
TiNiSn cub,143.0
TlN,112.67
TbN,176.0
TbN,139.9
TbN,180.6
ZrNiSn,119.0
ZrNiSn,129.0
Zn0.5In0.5Te,0.49
Zn0.5In0.5Te,0.53
La0.5Sm0.5S,10.0
Mg2[SiO4] wad,203.0
Mg2[SiO4] wad,196.0
Y2C3 hp-ht,140.0
Y2C3 hp-ht,117.0
La2Ti2O7 rt,121.0
Mg0.33Nb0.67PbO3 rt,102.7
Mg0.33Nb0.67PbO3 rt,148.0
Ba2Cu3YO7 rt,79.23
Ba2Cu3YO7 rt,96.71
Ba2Cu3YO7 rt,144.2
Ba2Cu3YO7 rt,207.6
Ba2Cu3YO7 rt,209.9
Ba2Cu3YO7 rt,180.0
Ba2Cu3YO7 rt,38.8
Ba2Cu3YO7 rt,170.0
Ba2Cu3YO7 rt,56.0
Ba2Cu3YO7 rt,123.0
Ba2Cu3YO7 rt,112.0
La2SO2,109.0
SrMnO3 3C,166.0
CuAlS2,94.0
CuAlS2,93.0
CuAlS2,94.0
NaZr2[PO4]3,47.0
NaZr2[PO4]3,44.7
Li4[SiO4] rt,73.94
SrCeO3 orth,64.2
SrCeO3 orth,110.1
LaAlO3 rt,177.0
LaAlO3 rt,196.0
LaAlO3 rt,10.0
CuGaO2,170.0
CuGaO2,202.0
BaTiO3 rt tet,177.4
Hf[MoO4]2 rt,19.0
YCrO3 ht orth,208.4
Ba2Cu3GdO7,88.5
BaF2 hp2,133.0
BaF2 hp2,125.0
Ba2Cu3DyO7,124.0
Ce[PO4] mon,128.0
Ce[PO4] mon,122.0
Ce[PO4] mon,109.0
Ca[OH]2,33.1
Ba2Cu4YO8 lt,199.5
Ba2Cu4YO8 lt,172.3
Ba2Cu4YO8 lt,117.75
Sr1.9CuBi2.1O6,12.0
Sr1.9CuBi2.1O6,18.0
Sr1.9CuBi2.1O6,170.0
Sr0.14Ca0.86CuO2,118.0
Cu0.5Ga0.5S ht,94.0
Al2O3 m-kappa,229.2
Zr2[WO4][PO4]2,61.3
Zr2[WO4][PO4]2,60.0
La2Sn2O7,190.0
CaCuO2 ht-hp1,2.134e-07
Sr0.6Pr0.4MnO3 rt,225.0
Sr0.6Pr0.4MnO3 rt,225.0
CaMgSi2O6,108.0
Pr2SO2,119.0
SrRuO3 rt,192.0
SrRuO3 rt,192.0
RbFe[MoO4]2 rt,7.89
RbFe[MoO4]2 rt,45.0
TiO2 bro,255.0
Y2SO2,142.0
Ca3Al2[SiO4]3,166.0
Ca3Al2[SiO4]3,159.7
Ca3Al2[SiO4]3,166.1
Ca3Al2[SiO4]3,-0.018
Cd[CO3],101.0
Cd[CO3],89.1
CeO2 hp,302.0
Sr2CuWO6 rt,185.0
BaFe2As2 lt,55.958
BaFe2As2 lt,69.0
BaFe2As2 lt,82.9
BaFe2As2 rt,55.056
BaFe2As2 rt,72.503
BaFe2As2 rt,71.0
BaFe2As2 rt,59.0
BaFe2As2 rt,69.0
BaFe2As2 rt,57.7
BaFe2As2 hp,104.4
BaFe2As2 rt,65.7
BaFe2As2 rt,153.0
Ca2La2MnO6[O2],274.0
CuMn2O4 ht,198.0
ZnAl2O4,260.0
ZnAl2O4,183.0
CuAlTe2,53.0
CuAlTe2,52.0
CuAlSe2,79.12
CuAlSe2,85.0
CuAlSe2,73.0
CuAlSe2,74.0
Li0.5Al0.5Si0.5O2 hex,71.0
Na[ReO4],42.0
K[ReO4],26.0
K[ReO4],34.9
K[ReO4],18.7
Tl[ReO4] hp,28.0
Tl[ReO4] hp,26.0
Tl[ReO4] hp,26.0
Tl[ReO4] hp,30.9
Tl[ReO4] hp,16.5
Na0.5Y0.5[WO4],80.0
RbNdW2O8 mon,143.0
OsSi2 stab,222.0
Tc stab,299.6
OsO2 rt,302.0
ThTe hp,102.0
ThTe hp,102.0
YSe,82.0
ThS rt,145.0
ThS rt,145.0
ThS rt,145.0
UP2 ht,124.0
ErS rt,105.0
YS,93.0
YS,102.0
TmS,85.0
TmS,85.0
TmS,78.0
ReH0.23 lt,370.0
CmBi rt,53.0
CmBi rt,69.24
CmBi rt,53.0
AmBi rt,75.0
NpAl2,65.0
NpAl2,66.0
NpAl2,46.0
NpAl2,56.0
PuAs,69.0
PuAs,69.0
NpTe rt,62.0
NpTe rt,62.0
NpSb rt,55.0
NpSb rt,54.5
PuSb rt,68.0
PuSb rt,68.0
PrRu4Sb12,111.0
PrRu4Sb12,111.0
CeOs4Sb12,85.0
LaRu4Sb12,98.0
LaRu4Sb12,98.0
CeRu4Sb12,97.0
CeRu4Sb12,97.0
CeRu4Sb12,89.0
YbMn2Ge2,37.0
YbMn2Ge2,85.0
YbRh2Si2,189.0
YbNiSn,146.0
LaRh3B,166.0
EuNi2Si2,160.0
Cu2LaSi2,142.0
VCo2Al,193.0
ZnCr2Se4 rt,119.7
ZnCr2Se4 rt,79.0
ZnCr2Se4 rt,98.0
MgIn2S4,79.0
AgAlSe2,59.0
AgAlSe2,59.0
AgAlTe2,43.0
AgAlTe2,43.0
CdAl2S4,44.6
CdAl2Se4,40.1
CdAl2Se4,31.479
HgAl2Se4 rt,66.0
CdSnAs2 rt,59.0
CdSnAs2 rt,59.0
ThFe4P12,178.97
Mn3SnC,240.4
Mn3SnC,281.37
Mn3SnC,237.995
Mn3SnC,286.148
ZnGeN2 orth,197.0
ZnGeN2 orth,191.0
ZnGeN2 orth,221.0
Ti3GeC2,197.0
Ti3GeC2,191.0
Ti3GeC2,148.0
Zn0.5Mn0.5Te cub,54.18
ZnSe0.5S0.5,62.43
YNi2B2C,0.1071
Sr0.9CuLa0.1O2 hp,117.0
K0.5Ba0.5BiO3 rt,200.0
K0.5Ba0.5BiO3 rt,200.0
TiClO rt,67.0
TiClO rt,130.0
TiClO rt,590.0
Nd3Ga5O12,167.0
Ba2CuWO6,153.0
Sr[SO4] rt,82.0
BaLaGa3O7,115.0
BaLaGa3O7,107.0
BaLaGa3O7,112.0
Er2Sn2O7,200.0
Ag0.16Ge0.67Sb0.17Te rt,50.0
MnFe2O4 rt,90.1
CuLaNdO4,365.0
Mn3SnN,247.57
Mn3SnN,291.37
Mn3SnN,245.297
Mn3SnN,286.148
SmNiO3 ht,167.0
In2O3 hp1,183.61
In2O3 hp1,182.0
FeGaO3 hp1,223.0
Tb3Fe5O12 rt,173.3527
Na3Li3In2F12,36.2
Lu2O3 hp,159.0
Lu2O3 hp,218.0
Lu2O3 hp,165.0
CeTi2O6,161.0
CeTi2O6,199.0
LaCrO3 rt,188.0
Cd[OH]2 hp2,37.6
SiO2 cri m,17.2
SiO2 cri m,14.0
SiO2 cri m,11.9
Zn0.5Fe2Ni0.5O4,301.8
Zr0.5Ti0.5PbO3 rt tet,83.9
BaBiO3 mon,215.0
BaBiO3 mon,215.0
KTi[PO4]O rt,58.0
KTi[PO4]O rt,75.0
KTi[PO4]O rt,122.0
Ca0.5Nd0.5MnO3 rt,47.24
Cu3CdTi4O12,316.0
Cu3CdTi4O12,235.0
Zn0.5Fe2Co0.5O4,15.0
Zn0.5Fe2Co0.5O4,58.2
Ba2CuHgO4.1,488.0
Ba2CuHgO4.1,134.0
Ba2CuHgO4.1,104.0
Ba2CuHgO4.1,65.4
Ba2CuHgO4.1,62.6
Ba2CuHgO4.1,88.0
AlO[OH] dia,137.6
AlO[OH] dia,141.3
AlO[OH] dia,167.5
CsRb2[C60],12.94
MnPtSb,39.0
MnPtSb,33.0
PrAs,100.0
AgGaSeS,8.15
MnO lt,157.0
Tb0.25Ho0.75Fe1.95,13.5
Tb0.25Ho0.75Fe1.95,4.0
NdGaO3 rt,177.3
NdGaO3 rt,234.0
NdGaO3 rt,134.3
NdGaO3 rt,189.0
NdGaO3 rt,186.5
Sr0.6CuLa1.4O4,147.0
Mg0.5Zn0.5Se,49.1
Fe hp,898.0
Fe hp,1770.0
La2.4Nd0.1Lu2.5Ga3O12,154.0
NpSn3,72.0
NpSn3,60.0
NpSn3,64.0
NpAl3,73.0
NpAl3,74.0
Cu0.5Cd0.5Fe2O4,119.0
UCoGe rt,341.0
UCoGe rt,309.0
UCoGe rt,309.0
ScPd2Sn,125.0
LuPd2Sn,125.0
TmPd2Sn,125.0
YbPd2Sn,125.0
CrFeNiO4,85.7
CaCu3Ti4O12,212.0
LiGaO2 hp,142.29
PrAlO3 rt,193.0
PrAlO3 rt,195.0
PrAlO3 rt,189.8
Zr[GeO4],230.0
Zr[GeO4],238.0
Zr[GeO4],232.3
Zr[GeO4],233.6
Ce2SO2,114.0
CaMnO3 rt,52.8
CaMnO3 rt,66.5
CaMnO3 rt,67.5
HfO2 ht1,220.0
ZrO2 hp3,197.3
ZrO2 hp3,298.0
ZrO2 hp3,251.0
ZrO2 hp3,296.0
BaO hp2,33.0
Lu5Ir4Si10 lt,137.0
Si hp1,102.0
Si hp1,115.0
Si hp3,310.0
Si m-hp1,6.66
Si m-hp1,99.1
Si m-hp1,103.4
Si m-hp1,107.3
Si m-hp1,94.37
Si m-hp1,120.0
Sr0.1CuLa1.9O4 rt,137.4
BaPb0.5Bi0.5O3 rt,171.0
CeVO3 tet,120.0
CeVO3 tet,92.0
CeVO3 tet,126.0
CeVO3 tet,90.0
HoMn2O5 lt1,173.0
Ca0.5La0.5MnO3 rt orth,60.7
Ca0.5La0.5MnO3 rt orth,82.6
Ca0.5La0.5MnO3 rt orth,70.3
Ca0.5La0.5MnO3 rt orth,225.0
Ca0.5La0.5MnO3 rt orth,186.0
CsCuCl3 rt,15.9
CsCuCl3 rt,15.6
CsCuCl3 rt,42.7
CsCuCl3 rt,61.8
CsCuCl3 rt,31.8
Sr2MoFeO6 rt,284.0
Sr2MoFeO6 rt,266.0
Zr0.5Ti0.5PbO3 ht cub,102.5
Ba[SO4] rt,63.0
Ba[SO4] rt,53.0
Ba[SO4] rt,58.6
Ba[SO4] rt,74.4
Ba[SO4] rt,72.4
Ba[CrO4],53.3
Lu[PO4],150.0
Lu[PO4],154.6
Lu[PO4],172.6
Tm[PO4],135.0
ScAs,85.5
ScAs,102.975
CeRh2Si2,139.0
Te tf,425.0
Fe0.67Si0.33 m,174.0
Fe0.67Si0.33 m,192.0
CaIrO3 orth2,202.0
CaIrO3 orth2,333.0
KTaO3 rt,196.0
KTaO3 rt,225.0
Sn0.19Ge0.81 m,53.8
Sr0.4La0.6MnO3 rt,171.0
Sr0.4La0.6MnO3 rt,167.0
MgMnFeO4,106.2
Y[AsO4],135.0
[C84] cub,19.5
[C60] rt,16.4
[C60] rt,217.0
[C60] rt,13.0
[C60] rt,16.0
[C60] rt,18.3
[C60] rt,8.4
[C60] rt,11.6
[C60] rt,750.0
NaCl hp,36.0
NaCl hp,62.5
NaCl hp,62.1
NaCl hp,29.72
NaCl hp,47.0
NaCl hp,40.4
NaCl hp,41.36
NaCl hp,47.8
NaCl hp,47.24
NaCl hp,40.37
NaCl hp,36.07
NaCl hp,43.42
NaCl hp,33.8
NaCl hp,35.6
URhAl,173.0
URhAl,175.0
Sr2CrReO6 cub,170.0
Sr2CrReO6 cub,172.6
Eu[MoO4],71.0
K[SCN] rt,13.3
As hp1,87.0
As hp1,53.8
As hp1,104.0
As hp1,88.2
Cu2YbSi2,92.0
KMnF3 hp,94.7
SiC 15R,222.0
SiC 4H,226.0
DyInO3 hex,175.0
GdInO3 hex,177.0
EuInO3 hex,167.0
ThAs rt,118.0
ThAs rt,118.0
ThAs rt,100.0
Th3Sb4,78.5
ThSb rt,84.0
ThSb rt,84.0
ThSb rt,83.2
Ag[N3] orth,39.0
Os2Ge3 rt,220.0
CdS hp1,107.0
CdS hp1,105.0
CdS hp1,94.0
SiO2 sti,311.0
SiO2 sti,260.0
SiO2 sti,276.0
SiO2 sti,319.6
SiO2 sti,294.8
ThSe hp,149.0
ThSb hp,99.0
NpAs rt,70.0
Be13Lu,95.0
PoO2 cub,171.0
LiAl3 rt,68.93
LiAl3 rt,30.8
PbS hp1,134.0
PbS hp1,30.1
LaSb hp,58.01
LaSb hp,67.9543
Gd m,34.0
Gd hp3,34.0
HoH3,87.0
HoH3,87.0
ZnPo,39.06
ZnPo,50.72
ZnPo,51.0
CdPo,31.41
CdPo,40.55
CdPo,37.2
BaC2 rt,49.0
UAs hp,121.6
PuSe rt,98.0
EuTe hp cub2,37.5
InSb hp2-ht,34.0
USb hp,83.0
K3[C60] rt,29.0
K3[C60] rt,27.8
K3[C60] rt,23.9
CdTe hp2,68.7
CdTe hp2,74.8
UMn2 lt2,149.0
CrN lt,262.0
Mg2Si hp2,163.83
Mg2Si hp2,49.05
ScSb rt,66.84
ScSb rt,67.2
ScSb rt,73.834
InSb tf,52.0
Ga0.5Sb0.5 hp2,37.1
WB2 hex2,350.0
InP hp1,137.0
ZnO hp,228.0
ZnO hp,205.0
ZnO hp,181.4
ZnO hp,211.78
ZnO hp,209.6
HgTe hp1,41.0
HgTe hp1,32.0
HgTe hp1,16.0
AmN,88.0
SiTe2 rt,95.0
CsH hp1,14.2
CsH hp1,22.3
CdS m cub,60.3
CdS m cub,56.7
CdS m cub,62.0
CdS m cub,60.0
CdS m cub,53.2
CdS m cub,74.0
CdS m cub,47.9
CdS m cub,46.7
CdS m cub,64.3
CdS m cub,60.3
CdS m cub,62.0
CdS m cub,70.0
CdS m cub,62.0
Pr1.25Ru4.75P3 rt,207.0
Pr1.25Ru4.75P3 rt,207.0
CuGaSeS,103.0
Tl hp,76.6
CePdSb,100.0
ScRh3B,201.0
ScRh3B,200.1
ScRh3B,198.0
ScRh3B,198.0
ScRh3B,190.0
UNiAlD2.1,127.0
UNiGa,112.0
CeCo5H4,147.0
CeCo5H4,147.4
CeCo5H4,149.2
CeCo5H4,147.4
CeCo5H4,148.3
Cs2MoS4 hp1,30.0
Cs2MoS4 hp1,27.0
CaGaSi,42.0
LiMgN ht,112.99
Cu0.5Ga0.5Se hp,113.0
Na[BH4] rt rt,15.0
TaO stab,293.0
TiO2 hp1,258.0
TiO2 hp1,212.0
TiO2 hp1,247.0
BeTe rt,78.0
BeTe rt,5.99
BeTe rt,126.0
BeTe rt,67.0
BeTe rt,70.6
BeTe rt,56.128
BeTe rt,68.0
BeTe rt,60.0
BeS rt,120.0
BeS rt,253.0
BeS rt,105.0
BeS rt,116.0
BeS rt,92.364
BeS rt,98.0
BeSe rt,105.0
BeSe rt,202.0
BeSe rt,92.2
BeSe rt,98.8
BeSe rt,74.569
BeSe rt,85.0
[NH3] hp1,7.49
[NH3] hp1,12.9
[NH3] hp1,17.45
[NH3] hp1,3.8
[NH3] hp1,77.8
[NH3] hp2,73.5
[NH3] hp2,5.0
TeO2 hp1,115.0
Rb3[C60]rt,21.9
Rb3[C60]rt,27.0
ZnO m,138.1
ZnO m,168.0
Ru2Si3 ht,227.0
U stab,90.0
AlN hp,281.0
AlN hp,348.0
AlN hp,174.0
AlN hp,206.0
AlN hp,229.0
AlN hp,252.3
AlN hp,178.0
Zr hp1,122.1
InSb hp1,52.0
InSb hp1,52.0
UN hp,197.0
UTe hp,60.0
Te ht-hp?,115.0
Te ht-hp?,114.0
PbO2 hp3,223.0
PbO2 hp3,223.0
NpIn3,73.0
NpIn3,74.0
InSb hp4,52.0
NpGe3,104.0
NpGe3,105.0
MgSe tf,50.0
CePtGa,160.0
Au2LuIn,112.5
Au2YbIn,54.7
Ta2GaC,219.0
Ta2GaC,217.3
V2GaC,192.0
V2GaC,180.7
Cu2YSi2,162.0
Cu2SmSi2,140.0
CaCu2Si2,100.0
Cu2ErSi2,161.0
ZnCrAlS4,190.8
MnCoRhSn,177.0
AgCu4Yb,108.0
Cu4AuYb,139.5
YRh3B,177.4
YRh3B,183.0
YRh3B,0.2048
CaPdH3,90.8
Cu3PdN ht,209.0
Cu3PdN ht,155.0
MgSiP2,75.0
TlTi3C,147.0
Nb2GaC,205.0
Nb2GaC,196.4
V3Ga2N,189.6
Ca2RuH6,18.8
Ca2RuH6,17.4
Ca2RuD6,16.7
Ca2RuH6,67.6
Ca2RuH6,58.5
Sr2RuH6,12.9
Sr2RuH6,16.0
Sr2RuD5,16.1
NdI2 hp1,30.0
SiO2 coe,93.0
CuF,119.0
CuF,593.0
Hg0.8Mn0.2S,38.79
Gd2Mo2O7,148.0
Nd2Sn2O7,200.0
Gd2Sn2O7,191.0
Sm2Sn2O7,192.0
Y1.5Er1.5Al5O12,185.0
Ca0.5Pr0.5MnO3 rt,280.0
Ba2NbInO6,143.05
Ba2TaInO6,142.59
Sr2MoCoO6 rt,152.0
Ca3Ga2[GeO4]3,165.0
Li0.5Fe2Ni0.5O4,8.81
Li0.2Cd0.6Fe2.2O4,6.8
ScTaPb2O6 ht1,200.0
Tl2Mn2O7,230.6
Tl2Mn2O7,230.7
Li0.3Zn0.4Fe2O4,9.83
Li0.5Mg0.5Ti0.5Fe1.5O4,107.3
Li0.5Mg0.5Ti0.5Fe1.5O4,142.7
Rb hp1,4.2
Rb hp1,4.9
Rb hp1,5.8
Ge hp1,91.2
Ge hp1,68.2
Ge hp1,67.5
Ge hp1,86.0
CuCl hp2,59.05
BaS hp,21.4
Sr2YSbO6 ht2,133.0
Ca2La3[SiO4]3O,88.1
Ca2La3[SiO4]3O,87.8
Ca2La3[SiO4]3O,88.0
Ba2MgWO6,137.0
Zn0.2Cd0.8O,182.026
Cs[OH] lt,29.7
CuFeAlO4,79.61
SiO2 mon1,108.0
Ca0.5La0.5CrO3 rt,172.0
Ne lt/hp,7.47
Ne lt/hp,1.097
Ne lt/hp,6.36
Ba2Ca2Cu3HgO8.2,83.8
Ba2Ca2Cu3HgO8.2,90.0
Ba2Ca2Cu3HgO8.2,101.0
Ba2CaCu2HgO6.2,91.6
Ba2CaCu2HgO6.2,94.0
Y0.25Sm0.75S lt,11.25
Sr2Ca1.7Cu3Pb0.3Bi2O10 lt,9.7
Dy2Fe17 rt,116.0
Dy2Fe17 rt,99.0
CeFe4P12,180.11
CeFe4P12,162.0
CeFe4P12,162.0
Ge m-hp2,18.0
Ge m-hp2,32.1
Ge m-hp2,43.6
Ge m-hp2,70.0
Ge m-hp2,72.7
[H2O] hp VII,21.6
[H2O] hp VII,5.02
Tb2Mo2O7,148.0
Y[CrO4] rt,95.0
Eu[CrO4],87.0
Hf[GeO4],242.0
Hf[GeO4],236.7
Hf[GeO4],238.2
[NH4]I ht,18.754
Li hp1,15.2
Li hp1,16.8
Li hp1,18.7
Li hp1,15.6
Li hp1,14.7
Sr2MoNiO6 rt,190.0
Pb hp2,44.4
Pb hp2,47.7
Pb hp1,46.3
Sr0.4CuCe0.2Nd1.4O4,143.0
EuNi2GeSi rt,25.0
Li0.5In0.5Se hp1,52.3
Ce[VO4],125.0
K4[C70],31.8
ZrO2 hp2,220.0
ZrO2 hp2,236.0
ZrO2 hp2,204.0
ZrO2 hp2,181.4
Ge m-hp1,76.3
InN hp,154.0
InN hp,251.0
InN hp,170.0
GaN hp,227.0
GaN hp,397.0
GaN hp,203.1
GaN hp,223.0
GaN hp,236.0
GaN hp,272.0
GaN hp,364.0
Sm hp4,33.0
CuI hp3,115.0
CuI hp2,57.0
B0.5CN0.5 ht-hp,3.77
B0.5CN0.5 ht-hp,342.4
B0.5CN0.5 ht-hp,344.7
B0.5CN0.5 ht-hp,289.6
B0.5CN0.5 ht-hp,412.0
B0.5CN0.5 ht-hp,420.0
B0.5CN0.5 ht-hp,276.0
B0.5CN0.5 ht-hp,350.0
B0.5CN0.5 ht-hp,184.0
Sr0.5La0.5MnO3 rt,140.0
Ge hp2,93.7
Sr0.15La0.85MnO3 rt,1.0309
LaFe4P12,177.11
LaRu4P12,172.0
LaRu4P12,172.0
CeRu4P12,226.0
CeRu4P12,226.0
CeOs4P12,150.0
CeOs4P12,150.0
PrFe4P12 rt,214.0
Sr2NbFeO6 rt,187.0
U3Al2Ge3 tet2,100.0
Li2S hp1,137.0
Sr2Fe2O5 ht-hp,173.0
NaInSi2O6,109.0
Mo3Ni2N,330.0
Sm3[C70],25.9
Ba4Si23 hp,85.0
Ba4Si23 hp,102.0
Ba4Si23 hp,87.0
HgWO4 rt,72.7
Na0.25Pr0.75MnO3 rt,157.0
Sr3NiPbO6,95.0
Na2Ti[GeO4]O rt,89.0
Ti2Bi2O7,202.0
Tl2[SeO4] rt,29.0
Sr2Cu2GdRuO8 tet,136.0
Sr2Cu2GdRuO8 tet,173.0
Sr2Cu2GdRuO8 tet,145.0
MnNi2Ge cub,138.97
LaRh3C ht,189.9
LaRh3C ht,190.4
LuRh3C0.7,219.2
LuRh3C0.7,218.1
URuGa,238.0
ThRhAl,147.0
ThRhAl,149.0
CdIn2Se4 hp-ht1,86.0
MgCo3C0.5,45.6
MgCo3C0.5,46.9
PtC hp,301.0
PtC hp,339.0
PtC hp,263.5
Fe0.9O lt,196.0
Fe0.9O lt,168.0
Fe0.9O lt,355.0
Fe0.9O hp1,202.0
Gd hp1,34.0
Gd hp2,34.0
Dy hp1,36.3
Y tf,127.0
Y tf,251.0
Y tf,52.6
Zr0.5Ti0.5PbO3 lt,73.6
SnO2 hp cub,307.0
SnO2 hp orth4,417.0
SnO2 hp orth1,259.0
CrO2 hp,162.0
CrO2 hp,143.0
CrO2 hp,138.0
CrO2 hp,181.0
CrO2 hp,202.0
CrO2 hp,229.0
Li2O hp,188.0
ZnTe hp1,91.3
Sr0.3Nd0.7MnO3 rt,40.1
CeZrO4 m,214.0
Po rt,28.0
Sr0.75Ca0.25TiO3 rt,176.4
GdTiGe rt,93.6
FeTe0.5Se0.5 rt,34.3
FeTe0.5Se0.5 rt,33.6
FeTe0.5Se0.5 rt,40.8
C2[CN]4 ht,9.5
GaN hyp,184.0
GaN hyp,254.0
GaN hyp,183.6
GaN hyp,195.6
GaN hyp,162.8
GaN hyp,202.0
GaN m,176.0
GaN m,202.0
GaN hyp,173.0
GaN hyp,201.0
GaN hyp,309.0
GaN hyp,198.0
GaN hyp,175.0
Si23I4,91.0
LaFeAsO rt,98.5
LaFeAsO rt,97.9
Be3Al2Si6O18,181.0
Be3Al2Si6O18,181.0
Be3Al2Si6O18,181.0
LaFePO,96.0
CeRuPO rt,153.0
CeRuPO rt,62.0
CeRuPO rt,105.0
In2O3 hp2,169.0
In2O3 hp2,192.0
Mn2O3 tricl,156.5
FeB4 ht-hp,252.0
BaBrF rt,51.5
Cs[SCN] rt,7.3
Cs[SCN] rt,13.8
Cs[SCN] rt,21.4
Cs[SCN] rt,13.2
BaSrMoFeO6 cub,178.0
Fe0.05Co0.95Sb2.875Te0.125,66.7
Ba0.16Sr0.08Pr0.009Nd0.171Yb0.05Fe2.6Ni1.4Sb12,65.0
Ba0.18Pr0.015Nd0.285Yb0.04Fe3.1Ni0.9Sb12,79.0
YFe2H4.2 mon,162.7
B hp,676.0
B hp,803.0
B hp,701.0
B hp,237.0
B hp,213.9
B hp,221.7
MgGeO3 hp1,322.8
MgGeO3 hp orth,433.0
ZrTaN3,311.0
YFe2H5,99.89
Ce0.5Fe2Co2Sb12,71.0
Sm0.1FeBi0.9O3 ht3,98.9
Sm0.1FeBi0.9O3 ht3,115.4
FeSb2O4 rt,49.0
P hp1,59.3
P hp1,67.7
P hp1,65.0
P hp1,62.0
NbFe0.5S2 hp,87.0
NbFe0.5S2 hp,116.0
AgLaSb2,74.0
Mg3Al2[SiO4]3,210.0
Ca0.8Mg0.2Mn0.1Fe1.9Al2[SiO4]3,176.8
SnP2S6,26.8
SnP2S6,44.3
SnP2S6,13.1
La0.74Fe2.74Co1.26Sb12,87.1
La0.74Fe2.74Co1.26Sb12,87.4
La0.74Fe2.74Co1.26Sb12,87.7
La0.74Fe2.74Co1.26Sb12,86.0
CaMg[CO3]2,19.2
CaMg[CO3]2,72.5
La0.8Nd0.2GaO3 rt,169.8
La0.8Nd0.2GaO3 rt,243.0
La0.8Nd0.2GaO3 rt,149.0
La0.8Nd0.2GaO3 rt,145.9
Mo3Pt2N,345.84
VPbO3,61.0
VPbO3,38.0
Li[BC4N4],35.0
Ba2Ca2Cu3Hg0.62Pb0.38O8.35,586.0
Ba2Ca2Cu3Hg0.62Pb0.38O8.35,255.0
Ba2Ca2Cu3Hg0.62Pb0.38O8.35,143.0
Li2CaHfF8,78.0
RbTi2[PO4]3 hp,104.0
RbTi2[PO4]3 hp,60.0
Na[OH] hp,45.9
Ba2MoFeO6 ht,234.0
B13N2 ht-hp,200.0
B13N2 ht-hp,214.0
