formula,Temperature,Eg (eV)
Be2C,0.0,1.21
Be2C,0.0,1.15
Be2C,298.0,5.0
PdBi2 ht,5.0,6.0
PdBi2 ht,5.0,2.5
SrH2 rt,298.0,3.0
MgBr2 rt,77.0,8.2
Ca[WO4],298.0,5.97
Ca[WO4],298.0,4.75
Ca[WO4],298.0,3.08
Ca[WO4],298.0,4.5
Mg0.2Cd0.8Te,298.0,2.43
Mg0.2Cd0.8Te,298.0,1.86
CsCoCl3,298.0,0.0276
Rb2CrCl4,298.0,0.427
Rb2CrCl4,298.0,0.558
Fe0.2Co0.8Sb3,298.0,0.4
Fe0.6Co0.4Sb2,298.0,0.0414
CuGaTe2 rt,298.0,0.82
CuGaTe2 rt,298.0,1.0
CuGaTe2 rt,298.0,1.24
CuGaTe2 rt,293.0,1.245
CuGaTe2 rt,77.0,1.328
CuGaTe2 rt,298.0,0.483
CuGaTe2 rt,298.0,0.95
CuLa2O4 ht,298.0,0.6
CuLa2O4 ht,298.0,1.3
CuLa2O4 ht,298.0,0.46
CuLa2O4 ht,298.0,0.1
CuLa2O4 ht,298.0,1.5
USe2 ht,298.0,1.2
LaFe12O19 rt,298.0,0.181
LiGaO2,298.0,5.6
ZnGa2O4 rt,298.0,4.5
ZnGa2O4 rt,298.0,2.59
ZnGa2O4 rt,298.0,5.0
ZnGa2O4 rt,298.0,4.6
Zn0.571Ga0.285O,298.0,3.65
Gd2[MoO4]3 ht1,483.0,4.058
Gd2[MoO4]3 ht1,453.0,4.083
Gd2[MoO4]3 ht1,432.0,4.099
Gd2[MoO4]3 ht1,298.0,-0.86
Gd2[MoO4]3 rt,295.0,4.184
Gd2[MoO4]3 rt,373.0,4.135
Gd2[MoO4]3 rt,432.0,4.099
Gd2[MoO4]3 rt,298.0,-0.66
ScGdS3,298.0,2.1
Tl0.5In0.5 rt,298.0,3.78
Tl0.5In0.5 rt,298.0,0.41
LiNiO2 rhom,,0.11
LiNiO2 rhom,298.0,0.2
Li0.5Ni0.5O cub,298.0,0.22
Li0.5Ni0.5O cub,298.0,0.2
Li0.5Ni0.5O cub,,0.2
Li0.5Ni0.5O cub,,0.007
Li0.5Ni0.5O cub,298.0,0.14
Li0.5Ni0.5O cub,298.0,0.22
Li0.5Ni0.5O cub,,0.234
Li0.5Ni0.5O cub,,0.344
Li0.5Ni0.5O cub,,0.217
Li0.5Ni0.5O cub,,0.334
Li0.5Ni0.5O cub,,0.143
Li0.5Ni0.5O cub,,0.237
Li0.5Ni0.5O cub,,0.137
Li0.5Ni0.5O cub,,0.185
Li0.5Ni0.5O cub,,0.144
Li0.5Ni0.5O cub,,0.181
Li0.5Ni0.5O cub,,0.2
Li0.5Ni0.5O cub,,0.15
Li0.5Ni0.5O cub,,0.2
Li0.5Ni0.5O cub,,0.15
Li0.5Ni0.5O cub,,0.2
Li0.5Ni0.5O cub,,0.15
Li0.5Ti0.5O ht,298.0,2.5
NaNbO3 rt,298.0,4.0
NaNbO3 rt,298.0,3.4
NaWO3 ht2,298.0,10.0
NaSb,298.0,0.46
Ta2SnO6,298.0,3.0
Sr2TiO4,298.0,12.04
Sr3Ti2O7,298.0,3.31
SrTiO3 rt,298.0,11.11
SrTiO3 rt,298.0,3.15
SrTiO3 rt,298.0,3.2
SrTiO3 rt,298.0,1.85
SrTiO3 rt,298.0,4.0282
SrTiO3 rt,298.0,4.1623
SrTiO3 rt,298.0,3.2
SrTiO3 rt,298.0,1.3
SrTiO3 rt,298.0,3.159
SrTiO3 rt,298.0,3.41
SrTiO3 rt,298.0,4.5
SrTiO3 rt,298.0,3.18
SrTiO3 rt,298.0,5200000.0
SrTiO3 rt,294.0,3.27
SrTiO3 rt,298.0,3.22
SrTiO3 rt,298.0,3.6
SrTiO3 rt,120.0,3.66
SrTiO3 rt,298.0,2.16
SrTiO3 rt,298.0,1.79
SrTiO3 rt,298.0,3.2
SrTiO3 rt,300.0,3200.0
SrTiO3 rt,2.2,3600.0
SrTiO3 rt,298.0,3.18
SrTiO3 rt,298.0,6.2
SrTiO3 rt,298.0,3.2
SrTiO3 rt,298.0,3.2
SrTiO3 rt,298.0,3.26
Sr[WO4] tet,298.0,4.78
Sr[WO4] tet,298.0,4.53
Sm2SO2,298.0,4.2
WSe2 2H,298.0,1.27
WSe2 2H,0.0,1.2
WSe2 2H,0.0,0.4
WSe2 2H,298.0,0.45
WSe2 2H,298.0,1.44
WSe2 2H,298.0,1.29
WSe2 2H,298.0,1.2
WSe2 2H,298.0,1.4
WSe2 2H,298.0,1.05
WSe2 2H,298.0,1.25
WSe2 2H,298.0,1.2
WSe2 2H,298.0,1.48
TlSb5S8,298.0,1.5
TlSbS2,298.0,1.48
HgS ht1,0.0,1.539
HgS ht1,0.0,3.254
HgS ht1,298.0,-0.15
Mg0.79Al0.80B14,298.0,32000.0
Mg0.5Al0.5B2,298.0,5.69
Mg0.5Al0.5B2,298.0,5.5
Mg0.5Al0.5B2,298.0,3.15
Mg0.5Al0.5B2,298.0,2.22
Mg0.5Al0.5B2,298.0,1.8
Mg0.5Al0.5B2,298.0,3.6
Mg0.5Al0.5B2,298.0,3.8
Mg0.5Al0.5B2,298.0,2.0
Mg0.5Al0.5B2,298.0,5.6
Mg0.5Al0.5B2,298.0,2.6
Mg0.5Al0.5B2,298.0,5.1
Mg0.5Al0.5B2,298.0,2.3
Mg0.5Al0.5B2,298.0,4.2
Mg0.5Al0.5B2,298.0,1.4
Nb3Al0.5Ge0.5,298.0,4.9
Ba4Cu3Ge20 rt,298.0,0.4
CdTe0.5Se0.5,298.0,1.51
CdTe0.5Se0.5,298.0,1.59
CdTe0.5Se0.5,298.0,1.58
CdTe0.5Se0.5,298.0,1.664
CdTe0.5Se0.5,298.0,1.81
CdTe0.5Se0.5,298.0,1.69
CdTe0.7Se0.3 rt tf,298.0,1.4
CdTe0.7Se0.3 rt tf,298.0,2.5
CdTe0.7Se0.3 rt tf,298.0,1.42
CdTe0.7Se0.3 rt tf,298.0,1.38
CdTe0.7Se0.3 rt tf,1.8,1.55
CdTe0.7Se0.3 rt tf,298.0,0.79
CdTe0.7Se0.3 rt tf,300.0,1.42
CdTe0.7Se0.3 rt tf,298.0,1.62
CdTe0.7Se0.3 rt tf,80.0,1.48
CdTe0.7Se0.3 rt tf,298.0,1.42
CdTe0.7Se0.3 rt tf,300.0,1.36
CdTe0.7Se0.3 rt tf,298.0,0.74
CdTe0.7Se0.3 rt tf,298.0,0.11
CdTe0.7Se0.3 rt tf,298.0,1.403
CdTe0.7Se0.3 rt tf,298.0,1.59
CdTe0.7Se0.3 rt tf,298.0,1.5
Ce3Te4,298.0,1.06
Ce3Te4,298.0,0.36
SrFe12O19,298.0,0.3188
KMgF3,298.0,9.6
KMgF3,298.0,12.4
KMgF3,298.0,6.95
KMgF3,298.0,7.24
KMgF3,298.0,-7.1
Mn0.5Ge0.5Te,298.0,0.25
Na3AlH6 rt,298.0,3.8
Na3AlH6 rt,298.0,3.0
Na3AlH6 rt,298.0,2.5
Na3AlH6 rt,298.0,3.3
Na3AlH6 rt,298.0,3.9
NaAlH4 rt,298.0,5.0
NaAlH4 rt,298.0,4.8
NaAlH4 rt,298.0,6.4
CaSe rt,298.0,8.56
CaSe rt,298.0,9.16
CaSe rt,298.0,9.61
CaSe rt,298.0,3.81
CaTi2O4,298.0,0.3
YbO,298.0,0.32
YbO,298.0,-40.0
GaInSe3,298.0,2.05
GaInSe3,77.0,6000.0
GaInSe3,77.0,40000.0
GaInSe3,298.0,3200.0
Ga0.5In1.5Se3 ht,77.0,100000.0
Ga0.5In1.5Se3 ht,273.0,100000.0
Ga0.5In1.5Se3 ht,,-0.86
Ga0.5In1.5Se3 ht,298.0,0.0065
MgS,0.0,8.4
MgS,0.0,6.48
MgS,298.0,3.52
MgS,298.0,2.56
MgS,298.0,3.42
MgS,298.0,4.59
Eu4As3 rt,298.0,0.6
Th3As4,298.0,0.44
Th3As4,298.0,0.28
Th3As4,298.0,0.44
Th3As4,298.0,40000000.0
Th3As4,298.0,0.29
Th3As4,298.0,0.05
CsAu rt,298.0,2.4
CsAu rt,0.0,8.3
CsAu rt,0.0,1.3
CsAu rt,0.0,1.43
CsAu rt,0.0,0.84
CsAu rt,0.0,1.22
CsAu rt,298.0,2.6
RbAu,0.0,0.7
EuB6,298.0,0.3
EuB6,298.0,-10.0
Np rt,298.0,0.562
Pa rt,298.0,0.632
Ru7B3,298.0,3.3
Ru7B3,298.0,3.52
Ru7B3,0.0,0.38
B rhom2,298.0,1.55
B rhom2,298.0,2.0
B rhom2,298.0,2.0
B rhom2,298.0,2.4
B rhom2,298.0,1.78
B rhom2,298.0,1.427
BaIn2,298.0,1.0
BaSe rt,298.0,1.8
BaSe rt,298.0,150000000.0
BaSe rt,298.0,27000000.0
BaTe rt,298.0,1.5
BaTe rt,298.0,3.4
BaTe rt,298.0,2.6
BaTe rt,0.0,0.55
BaTe rt,298.0,141000000.0
BaTe rt,298.0,28000000.0
Be13U,298.0,3.62
Be13U,0.0,0.145
BiBr,298.0,3.5
BiBr,298.0,0.6
Cs3Bi,0.0,1.4
Cs3Bi,298.0,0.82
K3Bi ht,298.0,0.57
PdBi rt,0.2,0.4
PdBi rt,0.2,0.1
PdBi rt,298.0,2.7
Rb3Bi rt cub,298.0,0.57
La2C3,298.0,0.5
La2C3,298.0,1.7
La2C3,298.0,4.82
Cm rt,298.0,0.49
Tc rt,298.0,8.4
Tc rt,298.0,1.109
Cs1.5Sb0.5,298.0,0.76
Cs1.5Sb0.5,0.0,1.02
Cs1.5Sb0.5,0.0,1.03
Cs1.5Sb0.5,0.0,0.62
Cs1.5Sb0.5,298.0,0.42
Cs1.5Sb0.5,298.0,2.3
Cs1.5Sb0.5,298.0,0.87
CsSb orth,298.0,0.65
DyH3,298.0,2.35
DyI2,298.0,0.51
Dy2.67S4 ht2,298.0,2.58
Dy2.67S4 ht2,298.0,2.18
Dy2.67S4 ht2,298.0,2.53
GaSe 3R,4.2,2.089
GaSe 3R,298.0,2.05
GaSe 3R,298.0,2.0
GdSe rt,298.0,1.8
KGe rt,0.0,0.5
NaGe,0.0,1.0
PdD0.96 rt,298.0,0.825
PdH rt,298.0,3.6
YH3 rt,298.0,0.8
YH3 rt,298.0,0.75
YH3 rt,298.0,2.25
Tl0.194In0.806 rt,298.0,3.82
Tl0.194In0.806 rt,298.0,0.54
Tl0.194In0.806 rt,298.0,3.87
Tl0.194In0.806 rt,298.0,0.543
Tl0.925In0.075 rt,298.0,3.96
Tl0.925In0.075 rt,298.0,0.545
IrSb3,0.0,0.0
IrSb3,0.0,1.21
IrSb3,0.0,0.71
IrSb3,298.0,1.18
IrSb3,298.0,1.4
KPb,0.0,0.3
KPb,0.0,0.35
KSb,298.0,0.68
La3Se4 rt,298.0,2.3
La3Se4 rt,298.0,2.3
TlLa3 rt,298.0,5.3
LuRu2,0.0,3.35
LuRu2,0.0,0.322
Mo3Se4,298.0,4.7
Mo3Se4,298.0,1.29
Mo0.25Tc0.75,298.0,3.6
NaSn rt,298.0,0.74
Nb3S4,298.0,1.55
NbS3 rt tricl,,0.19
NbS3 rt tricl,,0.19
NbS3 rt tricl,170.0,0.95
NbS3 rt tricl,78.0,1.05
NbS3 rt tricl,298.0,0.68
NbS3 rt tricl,298.0,0.5
Nb3Se4,298.0,2.8
NbSe2 2H (H),298.0,8.0
NbSe2 2H (H),298.0,0.6
Nb3Te4 rt,298.0,2.8
NbTe2 rt,303.0,0.0075
NbTe2 rt,303.0,0.44
NbTe2 rt,298.0,1.43
Np2O5 lt,298.0,2.0
V3O5 rt,298.0,0.62
V3O5 rt,298.0,0.48
OsP2,298.0,1.2
OsTe2 ht,298.0,0.3
PdP2,298.0,0.65
PdP2,298.0,1.11
PdP2,298.0,0.99
PtP2,298.0,0.8
RuP2,298.0,1.0
Th3P4 rt,298.0,0.17
Th3P4 rt,298.0,0.4
Th3P4 rt,298.0,40000000.0
Th3P4 rt,295.0,0.4
Th3P4 rt,298.0,0.007
Pr2.67Se4 ht,298.0,2.0
Pr2.67Se4 ht,298.0,2.0
UPt3,298.0,3.53
UPt3,0.0,0.081
PuSn3,298.0,1.3
RbSb orth,298.0,0.5
RbSb orth,298.0,0.68
V1.16Re2.84 ht,298.0,3.42
RhSb3,298.0,0.8
RuSe2,298.0,1.0
RuSe2,298.0,0.76
U3S5,,0.0781
U3S5,,0.0034
US2 rt,298.0,1.2
WS2 2H,298.0,0.91
WS2 2H,298.0,0.4
WS2 2H,77.0,1.42
WS2 2H,300.0,1.3
WS2 2H,298.0,1.95
YbS,298.0,1.0
YbS,298.0,55.0
YbS,298.0,1.3
YbS,298.0,0.0
YbS,298.0,-65.0
ZrS3,8.0,2.165
ZrS3,8.0,2.062
ZrS3,8.0,2.091
ZrS3,298.0,2.8
ZrS3,2.0,2.573
ZrS3,2.0,2.055
ZrS3,300.0,2.48
ZrS3,300.0,2.85
ZrS3,298.0,2.03
ZrS3,8.0,2.0517
ZrS3,8.0,2.067
SrSe,298.0,7.92
SrSe,298.0,7.66
SrSe,298.0,3.71
Yb0.91Se,298.0,0.32
SrTe rt,300.0,2.9
TaI4,298.0,0.4
CsH rt,298.0,2.15
PuTe,298.0,0.185
Ir3Si5,298.0,1.14
Cr8O21 rt,298.0,0.25
Tb2.67Se4 ht,298.0,2.1
Y2Cl3,298.0,0.85
C dia,298.0,5.4
C dia,298.0,3.466
C dia,298.0,13.9
C dia,298.0,4.3
C dia,298.0,5.5
C dia,298.0,5.84
C dia,298.0,14.0
C dia,298.0,7.5
C dia,298.0,5.86
C dia,298.0,7.87
C dia,298.0,6.22
C dia,298.0,5.47
C dia,298.0,4.01
C dia,298.0,5.67
C dia,298.0,5.43
C dia,298.0,5.43
C dia,298.0,13.6
C dia,298.0,4.3
C dia,298.0,6.0
C dia,298.0,5.72
C dia,298.0,11.07
C dia,298.0,11.27
C dia,298.0,7.26
C dia,298.0,12.55
C dia,298.0,12.61
C dia,298.0,4.21
C dia,298.0,5.33
C dia,298.0,6.7
C dia,298.0,5.3
C dia,298.0,5.4
C dia,298.0,8.22
C dia,298.0,6.96
C dia,298.0,8.27
C dia,298.0,13.13
C dia,298.0,11.79
C dia,298.0,5.46
C dia,298.0,5.57
C dia,298.0,4.502
C dia,298.0,12.4
C dia,298.0,13.1
C dia,298.0,15.4
C dia,298.0,4.72
C dia,298.0,7.7
C dia,298.0,14.6
C dia,298.0,21.2
C dia,298.0,7.6
C dia,298.0,5.6
C dia,298.0,5.55
C dia,298.0,6.18
C dia,298.0,2.8
C dia,298.0,4.41
MnCo2Si,298.0,0.66
ReP4,298.0,0.54
CoSbS par,298.0,0.75
CoSb2.99Te0.01,298.0,0.01
CoSb2.99Te0.01,298.0,0.111
VCo2Si,298.0,0.68
CuCr2Se4,298.0,0.035
Cr0.03Ge0.94Te ht,298.0,37000000.0
CuGaSe2 rt,298.0,0.96
CuGaSe2 rt,298.0,1.63
CuGaSe2 rt,293.0,1.658
CuGaSe2 rt,77.0,1.693
CuGaSe2 rt,298.0,3.25
CuGaSe2 rt,298.0,0.48
CuGaSe2 rt,298.0,2.06
CuGaSe2 rt,298.0,1.06
CuGaSe2 rt,298.0,1.62
CuGaSe2 rt,298.0,2.11
CuGaSe2 rt,298.0,1.48
CuGaSe2 rt,298.0,4.13
CuGaSe2 rt,298.0,7.87
CuGaSe2 rt,298.0,5.1
CuGaSe2 rt,298.0,4.5
CuGaSe2 rt,298.0,5500000.0
CuGaSe2 rt,77.0,1.72
CuGaSe2 rt,298.0,50.0
CuGaSe2 rt,298.0,1.66
CuGaSe2 rt,298.0,2.34
CuGaSe2 rt,298.0,-22.0
CuGaSe2 rt,298.0,-4.5
CuGaSe2 rt,300.0,250000.0
CuGaSe2 rt,300.0,1.664
CuGaSe2 rt,300.0,1.91
CuGaSe2 rt,300.0,2.3
CuGaSe2 rt,298.0,1.682
CuGaSe2 rt,298.0,1.682
CuGaSe2 rt,298.0,9000000.0
CuGaSe2 rt,298.0,0.566
CuGaSe2 rt,298.0,1.65
CuGaSe2 rt,298.0,0.26
CuGaSe2 rt,298.0,370000.0
CuGaSe2 rt,298.0,1.62
CuGaSe2 rt,298.0,1.7198
CuGaSe2 rt,298.0,1.7226
CuGaSe2 rt,298.0,1.7226
CuGaSe2 rt,298.0,1.723
CuGaSe2 rt,298.0,0.0291
CuGa5Se8,298.0,20000000.0
CuGa5Se8,10.0,494000.0
CuGa5Se8,10.0,28000.0
CuGa5Se8,298.0,499000.0
CuGa5Se8,298.0,795000.0
Cu2GeSe3 rt,300.0,36900.0
Cu2GeSe3 rt,70.0,35000.0
Cu2GeSe3 rt,0.0,0.792
Cu2GeSe3 rt,,-0.16
CuSmS2,298.0,2.1
Cu3SbSe4 rt,298.0,0.31
Cu3SbSe4 rt,298.0,0.42
EuGa2S4,300.0,6000.0
EuGa2S4,300.0,26000.0
EuGa2S4,5.0,81000.0
EuGa2S4,300.0,191000.0
EuSe rt,295.0,1.7
EuSe rt,0.0,3.0
EuSe rt,298.0,1.7
EuSe rt,298.0,-64.0
EuSe rt,300.0,100000.0
EuSe rt,300.0,30000000.0
EuSe rt,127.0,1.9
LiEuH3,298.0,4.16
Mn0.1Fe0.9Si2,1218.0,0.8
Mn0.1Fe0.9Si2,0.0,0.814
AgInS2 rt,298.0,1.18
AgInS2 rt,77.0,1.81
AgInS2 rt,77.0,1.87
AgInS2 rt,293.0,2.38
AgInS2 rt,293.0,1.76
AgInS2 rt,298.0,1.87
AgInS2 rt,298.0,2.01
AgInS2 rt,10.0,1.98
AgInS2 rt,298.0,0.533
AgInS2 rt,110.0,1.85
AgInS2 rt,300.0,1.76
AgTlTe2 tet,298.0,0.6
RuAs rt,298.0,0.01
CaAlSi hex,0.0,4.2
CaAlSi hex,298.0,1.2
CaAlSi hex,298.0,3.85
CaAlSi hex,2.0,1.03
CaAlSi hex,298.0,4.22
AgAlS2,298.0,1.98
MgTe hex,298.0,2.31
MgTe hex,298.0,3.0
MgTe hex,298.0,2.73
MgTe hex,298.0,4.95
MgTe hex,300.0,4.7
MgTe rt tf,298.0,2.29
MgTe rt tf,298.0,3.15
MgTe rt tf,298.0,2.27
MgTe rt tf,298.0,2.61
Zn0.6Mn0.4Se,298.0,2.75
Zn0.6Mn0.4Se,77.0,2.785
Zn0.6Mn0.4Se,2.2,2.805
Zn0.6Mn0.4Se,298.0,2.664
Zn0.6Mn0.4Se,298.0,2.8
Zn0.6Mn0.4Se,300.0,2.64
Zn0.6Mn0.4Se,120.0,2.725
Zn0.6Mn0.4Se,298.0,2.84
Zn0.5Mn0.5Se,298.0,0.68
Si3N4 stab,0.0,4.67
Si3N4 stab,0.0,4.63
Si3N4 stab,0.0,5.1
Si3N4 stab,0.0,4.7
Si3N4 stab,0.0,4.6
NbNi2Sn,298.0,3.1
Nd2.67Se4 ht,298.0,2.0
Nd2.67Se4 ht,298.0,2.0
Nd0.09Pb0.86Se,298.0,0.54
ZnSnP2 rt,298.0,1.45
ZnSnP2 rt,298.0,0.97
ZnSnP2 rt,298.0,0.61
ZnSnP2 rt,298.0,0.457
TlPrSe2,298.0,1.16
PtSn1.2Sb1.8,298.0,0.12
RbSb3Se5,298.0,0.7
RbSbSe2,298.0,1.62
RuTeSe,298.0,0.35
USeS,298.0,0.0371
USeS,298.0,0.00013
Zn0.5Sn0.5Sb ht,298.0,0.4
ZnSnSb2 rt,298.0,0.365
WSi2 tf,298.0,-0.03
Ge0.90Si0.08C0.02,298.0,1.046
YbH2 rt,298.0,1.5
KHgC4,298.0,1.3
LaNiC2,298.0,5.0
LaNiC2,298.0,1.2e-06
LaNiC2,298.0,1.41e-06
LaNiC2,1.15,3.5e-08
LaNiC2,1.85,3.5e-08
LaNiC2,298.0,0.0198
LaNiC2,2.75,2.9
LaNiC2,2.7,7.8
Ge3N4 ht,298.0,2.17
CdCe2S4,298.0,1.35
CdDy2Se4,298.0,2.0
CdEr2S4,298.0,2.0
Cd0.95Fe0.05Te cub,298.0,1.56
Cd0.95Fe0.05Te cub,298.0,8.7
Cd0.95Fe0.05Te cub,298.0,9.35
Cd0.95Fe0.05Te cub,298.0,10.35
Cd0.95Fe0.05Te cub,298.0,1.61
Cd0.1Ga0.6Te,298.0,0.78
Cd0.1Ga0.6Te,298.0,0.46
Cd0.1Ga0.6Te,298.0,66.0
Cd0.1Ga0.6Te,298.0,62.0
CdGd2S4,298.0,1.15
CdGeP2,298.0,1.8
CdGeP2,298.0,1.0
Cd0.5Hg0.5Se,298.0,0.7
Cd0.5Hg0.5Se,298.0,0.5
Cd0.5Hg0.5Se,298.0,0.06
Cd0.5Hg0.5Se,30.0,0.2
Cd0.5Hg0.5Se,125.0,0.249
Cd0.5Hg0.5Se,200.0,0.289
Cd0.5Hg0.5Se,12.6,0.7725
Cd0.5Hg0.5Se,100.0,0.7895
Cd0.5Hg0.5Se,200.0,0.7915
Cd0.25In0.5Se cub,298.0,1.55
CdIn2Se4 1T,298.0,323.0
CdIn2Se4 1T,298.0,197.0
CdIn2Se4 1T,298.0,1.7
CdIn2Se4 2T,298.0,374.0
CdIn2Se4 2T,298.0,235.0
Cd0.5Mn0.5S,100.0,2.683
Cd0.5Mn0.5S,100.0,2.584
Cd0.5Mn0.5S,298.0,2.5
Cd0.5Mn0.5S,298.0,2.45
Cd0.5Mn0.5S,,0.934
Cd0.5Mn0.5S,298.0,3.01
CdSnP2,298.0,1.5
CdSnP2,298.0,1.17
CdSnP2,298.0,0.03
CdSnP2,298.0,1.165
CdSnP2,77.0,1.226
CdSnP2,298.0,1.17
CdSnP2,298.0,1.14
Cd0.5Pb0.5Se rt,320.0,0.34
Cd0.5Pb0.5Se rt,298.0,0.29
CeNiSn rt,,0.0003
CeNiSn rt,298.0,0.0003
CeNiSn rt,298.0,0.019
CeNiSn rt,298.0,0.0006
CeNiSn rt,298.0,0.00022
CeNiSn rt,298.0,-0.2
CeNiSn rt,298.0,0.00025
EuCo2Ge2,298.0,2.5
YMn4Al8,298.0,0.0429
ZnAl2S4 rt,289.0,3.739
ZnAl2S4 rt,298.0,3.5
ZnAl2S4 rt,10.0,4.14
ZnAl2S4 rt,10.0,3.96
CdGeAs2,298.0,0.53
CdGeAs2,300.0,2780.0
CdGeAs2,300.0,3490.0
Cu3AsS4 ena,298.0,1.24
Cu3AsS4 ena,298.0,0.66
FeAs0.5S1.5,298.0,0.95
ZnGeAs2 rt,298.0,0.85
ZnGeAs2 rt,298.0,0.488
RuIn3,298.0,0.3
RuIn3,298.0,0.45
RuIn3,298.0,0.21
RuIn3,,0.19
RuIn3,298.0,0.222
RuIn3,298.0,0.167
In0.1As1.9Se2.95,298.0,1.72
NaAsS2,298.0,2.33
As2Se2.29S0.71,298.0,1.802
Tl3AsSe3,298.0,0.65
Zn0.5Sn0.5As ht,298.0,0.7
BN hp2,0.0,8.0
BN hp2,0.0,5.81
BN hp2,298.0,8.52
BN hp2,298.0,8.5
BN hp2,298.0,5.44
BN hp2,298.0,6.67
BN hp2,298.0,6.72
BN hp2,298.0,6.76
BN hp2,298.0,5.01
BN hp2,298.0,3.8
YCrB4,298.0,0.17
BN hex,298.0,6.1
BN hex,298.0,5.5
BN hex,298.0,4.3
BN hex,298.0,5.95
BN hex,298.0,3.9
BN hex,300.0,5.2
BN hex,0.0,4.3
BN hex,0.0,3.9
BN hex,298.0,5.9
BN hex,298.0,4.3
BN hex,298.0,3.9
BN hex,0.0,4.2
BN hex,0.0,4.6
BN hex,0.0,4.5
BN hex,0.0,4.07
BN hex,298.0,4.03
BN hex,8.0,5.96
BN hex,298.0,14.5
BN hex,298.0,4.21
TlBiS2,298.0,1100000.0
TlBiS2,90.0,0.35
TlBiS2,298.0,0.42
TlBiS2,298.0,0.53
SmTe3,298.0,0.13
YMoB4,298.0,0.28
CsBiS2 mon,298.0,1.43
CaMg2Bi2,298.0,0.7
CaMg2Bi2,298.0,0.7
LiBaH3,298.0,2.28
LiBaH3,298.0,3.93
KBi3S5 rt,298.0,1.21
KBi3S5 rt,298.0,1.21
InBiSe3 rhom,296.0,1.84
InBiSe3 rhom,298.0,1.5
InBiSe3 rhom,298.0,0.5
InBiSe3 rhom,298.0,1.19
Ga2BiSe4,298.0,1.8
TaS3 lt mon,298.0,0.15
Er0.62Al0.73B14,298.0,150000.0
RuSb2,298.0,0.33
RuSb2,298.0,0.79
RuSb2,298.0,0.26
GaInSe2,298.0,1.8
GaInSe2,298.0,1.79
GaInSe2,298.0,1.81
LaGaS3 mon,298.0,1.9
LaGaS3 mon,298.0,2.0
VMn2Ga,298.0,0.2
Mo4GaS8 rt,77.0,0.0336
Mo4GaS8 rt,77.0,0.0034
ZrNi2Ga,0.0,3.53
ZrNi2Ga,0.0,0.434
GaSb0.1P0.9,298.0,1.57
GaSb0.1P0.9,298.0,1.57
Ga2PbS4,298.0,2.84
Ga2PbS4,32.0,3000.0
Ga2PbS4,32.0,300.0
Ga2PbS4,292.0,300.0
Ga2PbS4,292.0,30000.0
TlGaSe2 rt,298.0,2.08
TlGaSe2 rt,298.0,1.93
TlGaSe2 rt,298.0,2.1
TlGaSe2 rt,,2.23
TlGaSe2 rt,,2.23
TlGaSe2 rt,298.0,0.037
TlGaSe2 rt,298.0,37.0
TlGaSe2 rt,492.0,11.0
TlGaSe2 rt,298.0,2.15
TlGaSe2 rt,295.0,10000.0
TlGaSe2 rt,15.0,10000.0
Zn0.6Ga0.27Te,298.0,1.27
Zn0.6Ga0.27Te,298.0,0.94
ZnGeP2 rt,298.0,2.2
ZnGeP2 rt,298.0,0.13
ZnGeP2 rt,298.0,1.75
ZnGeP2 rt,298.0,1.09
ZnGeP2 rt,298.0,1.19
ZnGeP2 rt,300.0,2000.0
ZnGeP2 rt,298.0,1.07
ZnGeP2 rt,298.0,0.532
ZnGeP2 rt,298.0,200000.0
ZnGeP2 rt,298.0,20000.0
ZnGeP2 rt,300.0,1.81
Sn0.5Ge0.5Se,298.0,1.13
SnTe,298.0,0.3
LiSrH3,298.0,1.93
LiSrH3,298.0,3.54
Hg0.65Mn0.35Te rt,4.2,0.6
Hg0.65Mn0.35Te rt,4.2,1.1
Hg0.65Mn0.35Te rt,15.0,11400.0
Hg0.65Mn0.35Te rt,298.0,7800.0
Hg0.65Mn0.35Te rt,298.0,0.0019
Hg0.65Mn0.35Te rt,298.0,0.19
Hg0.65Mn0.35Te rt,298.0,0.13
Hg0.65Mn0.35Te rt,298.0,0.72
Tl2Hg3S4,298.0,2.05
Tl2Hg3S4,298.0,2.22
Tl2Hg3Se4,298.0,1.57
Tl2Hg3Se4,298.0,1.56
Tl2Hg3Te4,298.0,0.9
Tl2Hg3Te4,298.0,0.57
BN rhom,298.0,4.6
BN rhom,298.0,5.5
BN rhom,298.0,4.8
PrCoGe3,270.0,3.4e-07
LaMn4Al8,298.0,0.0215
FeSb2Se4 rt,300.0,0.33
HgGa2S4,298.0,2.84
CdFe2O4,298.0,16000000.0
CdFe2O4,298.0,2.0
CdFe2O4,298.0,1.824
CdFe2O4,298.0,1.97
Li3SbS3 rt,298.0,3.85
EuH2 rt,298.0,1.7
EuH2 rt,298.0,1.85
URu2Si2,298.0,4.92
URu2Si2,298.0,8.6
URu2Si2,298.0,0.005
URu2Si2,0.1,0.22
URu2Si2,4.0,0.0032
SbPS4,298.0,2.57
SnPS3 rt,295.0,3600.0
RhP2,298.0,1.0
Cu3PS4 ht,298.0,2.0
PrFe2Ge2,0.0,0.0025
PrFe2Ge2,20.0,0.0004
In0.67PSe3 ht,77.0,113770.0
In0.67PSe3 ht,77.0,0.0043
TiNiSn cub,298.0,0.0388
TiNiSn cub,298.0,0.7
TiNiSn cub,298.0,0.4
TiNiSn cub,298.0,0.45
TiNiSn cub,298.0,0.45
TiNiSn cub,298.0,1.2
