formula,Temperature,Eg (eV)
Sn lt,298.0,0.559
Sn lt,298.0,0.483
Sn lt,298.0,0.744
Sn lt,298.0,0.726
Sn lt,298.0,0.25
Sn lt,298.0,0.555
Sn lt,298.0,0.472
Sn lt,298.0,-0.54
Sn lt,298.0,0.15
Sn lt,298.0,-0.35
Sn lt,195.0,0.48
Sn lt,195.0,1.05
Sn lt,195.0,0.35
Sn lt,298.0,0.003
Sn lt,298.0,0.05
Sn lt,298.0,0.2
Sn lt,298.0,0.63
Sn lt,200.0,1.316
Sn lt,200.0,1.798
Sn lt,200.0,2.42
Sn lt,200.0,2.72
Sn lt,200.0,2.72
Sn lt,100.0,0.3
Sn lt,100.0,0.228
FeGa3,298.0,0.3
FeGa3,298.0,0.5
FeO ht,0.0,3.4
FeO ht,298.0,2.1
FeO ht,298.0,2.5
FeO ht,298.0,3.2
FeO ht,0.0,0.4
FeO ht,298.0,6.0
FeO ht,298.0,7.8
FeO ht,298.0,7.0
FeO ht,298.0,6.4
FeO ht,10.0,4.8
FeO ht,298.0,4.28
FeO ht,298.0,3.58
FeO ht,298.0,7.1
FeO ht,298.0,6.6
FeO ht,298.0,4.0
FeO ht,298.0,4.2
FeO ht,298.0,2.4
FeO ht,298.0,3.5
FeO ht,298.0,2.5
Fe3O4 rt,298.0,2.28
Fe3O4 rt,298.0,0.853
Fe2O3 hem,298.0,2.2
Fe2O3 hem,0.0,3.4
Fe2O3 hem,298.0,3.5
Fe2O3 hem,298.0,6.3
Fe2O3 hem,298.0,7.0
Fe2O3 hem,298.0,12.7
Fe2O3 hem,298.0,2.25
Fe2O3 hem,298.0,1.93
Fe2O3 hem,298.0,1.91
Fe2O3 hem,298.0,2.135
Fe2O3 hem,298.0,2.2
Fe2O3 hem,298.0,9.5
Fe2O3 hem,298.0,2.16
Fe2O3 hem,0.0,1.15
FeS2 rt,298.0,3.0
FeS2 rt,298.0,3.5
FeS2 rt,298.0,0.58
FeS2 rt,298.0,0.96
FeS tro,298.0,0.04
S 8-r alpha rt,298.0,2.89
FeSb2,298.0,0.2
FeSb2,,0.022
FeSb2,,0.0138
FeSb2,290.0,0.13
FeSb2,90.0,0.031
FeSb2,0.0,0.03
Ti rt,298.0,5.6
Ti rt,298.0,9.4
Ti rt,298.0,1.029
U rt,298.0,0.59
GaS rt,4.2,2.6
GaS rt,298.0,-110.0
GaS rt,298.0,2.55
GaS rt,298.0,1.8
GaS rt,298.0,2.9
GaS rt,298.0,2.5
GaS rt,293.0,2.559
GaS rt,300.0,2.376
GaS rt,300.0,2.9
GaS rt,298.0,2.62
GaS rt,77.0,2.9
GaS rt,77.0,2.4
GaS rt,300.0,2.53
GaS rt,15.0,3.02
GaS rt,15.0,3.041
GaS rt,15.0,4.051
GaS rt,15.0,4.28
GaS rt,15.0,4.502
GaS rt,15.0,4.578
GeSe2 ht,298.0,2.6
Se rt,298.0,1.5
Se rt,298.0,2.11
Se rt,0.0,2.48
Se rt,298.0,1.0
Se rt,298.0,1.8
Se rt,298.0,1.0
Se rt,298.0,1.6
Se rt,298.0,-151.0
Se rt,298.0,-82.0
Se rt,298.0,-275.0
Se rt,298.0,-160.0
Se rt,298.0,-70.0
Se rt,298.0,-44.0
Ga2Se3 rt,298.0,1.7
Ga2Se3 rt,298.0,1.85
Ga2Se3 rt,298.0,1.79
Ga2Se3 rt,298.0,1.79
GaSe 2Halpha,4.2,2.109
GaSe 2Halpha,4.2,2.1
GaSe 2Halpha,298.0,2.02
GaSe 2Halpha,10.0,2.132
GaSe 2Halpha,10.0,2.1303
GaSe 2Halpha,4.2,3.41
GaSe 2Halpha,4.2,2.13
GaSe 2Halpha,4.2,3.73
GaSe 2Halpha,4.2,2.14
GaSe 2Halpha,298.0,2.11
GaSe 2Halpha,80.0,2.118
GaSe 2Halpha,77.0,2.093
GaSe 2Halpha,298.0,1.95
GaSe 2Halpha,298.0,-120.0
GaSe 2Halpha,10.0,2.16
GaSe 2Halpha,300.0,2.02
GaSe 2Halpha,80.0,2.09
GaSe 2Halpha,298.0,2.0196
GaSe 2Halpha,298.0,-45.0
GaSe 2Halpha,298.0,2.01
GaSe 2Halpha,298.0,-155.0
GaSe 2Halpha,298.0,2.021
GaSe 2Halpha,0.0,2.1275
GaSe 2Halpha,298.0,-0.38
GaSe 2Halpha,4.2,2.13
GaSe 2Halpha,300.0,2.021
GaSe 2Halpha,300.0,2.001
GaSe 2Halpha,298.0,2.03
GaSe 2Halpha,77.0,2.12
GaSe 2Halpha,77.0,2.09
GaSe 2Halpha,300.0,1.992
GaSe 2Halpha,2.0,2.1
GaSe 2Halpha,298.0,2.0
GaSe 2Halpha,298.0,2.021
GaSe 2Halpha,298.0,2.001
GaSe 2Halpha,30.0,2.128
GaSe 2Halpha,77.0,2.0
GaSe 2Halpha,298.0,2.1
GaSe 2Halpha,298.0,2.94
GaSe 2Halpha,298.0,1.9
Mn rt,298.0,9.1
Mn rt,298.0,0.799
Ru2Ge3 ht,298.0,0.34
Ru2Ge3 ht,298.0,0.34
Ge0.5Si0.5,0.0,1.15
Ge0.5Si0.5,6.0,0.99
Ge0.5Si0.5,4.0,1.0
Ge0.5Si0.5,4.0,1.13
Ge0.5Si0.5,298.0,-0.34
Ge0.5Si0.5,298.0,-0.3
Ge0.5Si0.5,298.0,-0.24
Ge0.5Si0.5,298.0,-0.24
Ge0.5Si0.5,298.0,-0.26
Ge0.5Si0.5,0.0,1.248
Ge0.5Si0.5,0.0,1.29
Ge0.5Si0.5,0.0,1.995
Ge0.5Si0.5,0.0,2.016
Ge0.5Si0.5,0.0,0.9
Ge0.5Si0.5,0.0,0.87
Ge0.5Si0.5,0.0,2.418
Ge0.5Si0.5,0.0,2.517
Ge0.5Si0.5,0.0,2.51
Ge0.5Si0.5,0.0,2.578
Ge0.5Si0.5,0.0,2.391
Ge0.5Si0.5,0.0,2.498
Ge0.5Si0.5,0.0,0.965
Ge0.5Si0.5,4.2,1.122
Ge0.5Si0.5,4.2,0.975
Ge0.5Si0.5,4.2,0.918
Ge0.5Si0.5,300.0,30000.0
Ge0.5Si0.5,298.0,0.9
Ge0.5Si0.5,298.0,1.01
Ge0.5Si0.5,298.0,0.77
Ir,298.0,6.6
Ir,298.0,1.085
Pu rt,298.0,0.539
In2Se3 ht1,298.0,1.84
In4Se3 orth,298.0,1.2
In6Se7 (Sn),298.0,0.31
InSe rt,298.0,1.266
InSe rt,0.0,1.3507
InSe rt,0.0,2.5622
InSe rt,0.0,2.9
InSe rt,10.0,1.336
InSe rt,298.0,1.54
InSe rt,298.0,1.293
InSe rt,298.0,2.422
InSe rt,298.0,1.3
InSe rt,10.0,1.351
InSe rt,10.0,1.352
InSe rt,10.0,1.3
InSe rt,298.0,1.6
InSe rt,298.0,1.3
InSe rt,1.8,2.562
InSe rt,298.0,0.344
In0.75Sn0.25 rt,298.0,1.82
In0.75Sn0.25 rt,298.0,1.83
In0.75Sn0.25 rt,298.0,1.87
In0.75Sn0.25 rt,298.0,1.8
In0.75Sn0.25 rt,298.0,1.76
In0.75Sn0.25 rt,298.0,1.89
In0.75Sn0.25 rt,298.0,1.85
In0.75Sn0.25 rt,298.0,1.96
In0.75Sn0.25 rt,298.0,0.635
In0.75Sn0.25 rt,298.0,0.578
In0.75Sn0.25 rt,298.0,0.835
In0.75Sn0.25 rt,298.0,0.93
In0.75Sn0.25 rt,298.0,0.98
K2Te,298.0,2.16
K2Te2 ht,298.0,0.67
K5Te3,298.0,0.12
Te rt,298.0,0.33
Te rt,298.0,0.335
Te rt,298.0,0.22
Te rt,298.0,0.56
Te rt,298.0,0.3
Te rt,298.0,0.45
Te rt,298.0,0.0
Te rt,298.0,1.41
Te rt,298.0,5.62
Te rt,298.0,1.77
Te rt,298.0,1.5
Te rt,298.0,125000000.0
Te rt,298.0,1.77
Te rt,298.0,1.62
Te rt,298.0,0.44
Te rt,298.0,0.33
Te rt,298.0,0.59
Te rt,298.0,0.42
Te rt,298.0,0.54
Lu,298.0,1.54
Lu,298.0,8.8
Lu,298.0,1.603
Lu,298.0,0.296
Mg2Si,0.0,1.9
Mg2Si,0.0,2.41
Mg2Si,0.0,2.06
Mg2Si,0.0,0.14
Mg2Si,0.0,0.37
Mg2Si,298.0,0.77
Mg2Si,0.0,0.77
Mg2Si,298.0,-0.64
Mg2Si,298.0,0.3
Mg2Si,298.0,0.25
Mg2Si,0.0,2.0
Mg2Si,0.0,0.55
Mg2Si,0.0,0.75
MnTe rt hex,298.0,1.3
MnTe rt hex,0.0,0.3
MnTe rt hex,298.0,1.0
MnTe rt hex,300.0,1000000.0
MnTe rt hex,298.0,3.1
MnTe rt hex,298.0,2.0
NbN rt,298.0,4.0
NbN rt,298.0,4.31
NbN ht2,298.0,4.34
NbN ht2,298.0,3.96
NbN ht2,298.0,3.9
NbN ht2,298.0,4.15
Y2O3 rt,298.0,10.0
Y2O3 rt,298.0,8.5
Y2O3 rt,0.0,6.15
Y2O3 rt,298.0,5.64
Y2O3 rt,298.0,3.3
Y2O3 rt,298.0,4.0
Y2O3 rt,8.0,6.0
Y2O3 rt,298.0,4.6
Y2O3 rt,0.0,5.5
Y2O3 rt,298.0,2.0
PdPb2,298.0,2.84
Tl0.4Pb0.6,298.0,4.37
Tl0.4Pb0.6,298.0,1.11
Tl0.4Pb0.6,298.0,0.68
Tl0.4Pb0.6,298.0,1.35
Tl0.4Pb0.6,298.0,1.33
Tl0.4Pb0.6,298.0,1.16
Tl0.4Pb0.6,298.0,0.95
Tl0.4Pb0.6,298.0,0.87
Yb rt,298.0,0.36
Ta0.6Re0.4,0.0,3.54
Ta0.6Re0.4,0.0,3.48
Ta0.6Re0.4,0.0,3.47
Ta0.6Re0.4,0.0,3.4
W0.08Re0.92,0.1,1.56
W0.71Re0.29,298.0,3.1
W0.25Re0.75 rt,298.0,1.76
W0.25Re0.75 rt,0.1,1.25
Ru2Si3 rt,298.0,0.7
Ru2Si3 rt,298.0,0.52
RuSi Ru-,298.0,0.21
TlSe rt,298.0,0.57
TlSe rt,298.0,0.745
TlSe rt,298.0,-0.39
TlSe rt,298.0,1.3
Sm rt,298.0,0.38
ZnTe rt,4.2,2.391
ZnTe rt,298.0,2.2
ZnTe rt,0.0,2.39
ZnTe rt,300.0,2.12
ZnTe rt,1.6,2.3941
ZnTe rt,2.0,2.3808
ZnTe rt,0.0,0.63
ZnTe rt,0.0,1.006
ZnTe rt,298.0,2.27
ZnTe rt,298.0,2.27
ZnTe rt,0.0,2.57
ZnTe rt,0.0,3.95
ZnTe rt,0.0,3.47
ZnTe rt,0.0,3.07
ZnTe rt,0.0,2.4
ZnTe rt,0.0,1.89
ZnTe rt,298.0,5.8
ZnTe rt,0.0,1.96
ZnTe rt,0.0,2.23
ZnTe rt,298.0,-2.5
ZnTe rt,0.0,2.71
ZnTe rt,0.0,1.02
ZnTe rt,0.0,1.61
