formula,target
NbCrO4,93.2090475207208
MgZrN2,68.71284264199285
CuAgO2,16.325227233517467
ZnSe,27.52994996439468
Y(SiRh)2,88.44452376565957
TiInCo2,68.1423426167988
ZnFe3C,105.27652601982086
MnZnRh2,60.0
SmHoMg2,21.0
VSnRh2,75.88543391226621
Ti2AlN,114.79381790263952
TiInAu2,16.71201296864809
ScInNi2,48.58914520109796
VRh,95.78583033697954
CsVCl3,5.035459098394138
Pt3W,118.33254906790025
BiI3,2.0
LiZn2Ni,35.288068642008255
Y(Sn3Ru2)2,55.85234978600759
YCu2Bi2(SeO2)2,33.250311658641245
HfIr,12.0
ScVFe,76.61888823435196
V3Sb,79.30797059769742
CeMg,20.888885537469033
BaZn2,9.0
Li2CdSb,14.12841068558183
Ba(MgBi)2,20.453642044811872
Ti5Si4,94.60493282179893
Zn(GaNi)3,63.300206791299544
Mn2CrCo,97.31023539562628
H5CNO2,5.430986074481627
Ni5O6,63.28343317906948
Nb2Al,82.462416202914
ZrHg3,11.508427840979884
LiNiP,32.711053632524745
TlTe3Pt2,15.0
YbI2,2.9054663350528265
TiFe2,79.0308526839115
HfAlPt,75.5232504655612
CaCuSb,34.29453594115137
Ca4VN4,44.12160251300577
LiCuO,32.40284259442164
AgF,0.2434711219459152
LiZn,24.897624096014557
BeVOs2,111.95681486431792
KCu4Se3,14.355588440982526
K2O2,15.478987500740564
P3Ir,113.80204821688832
MnCoO3,70.55341983744472
LiMg2Ga,20.590740838457915
Ti2S,84.59106634338804
Sc2ZnPt,41.18647419214132
V3Ni,93.0
ScFeGe,52.97660434340632
GaFeCo2,81.13560142818616
Sb2Au,23.5342058658265
Mg2SiO4,73.64649210421373
Mg(AlS2)2,11.406730951298355
K3B17,76.87566114986032
TiAlOs2,104.18926770490948
Ti5Sn3,48.421385429094286
RuO2,92.53351603986933
Ca2CoN2,37.44858238468469
MgCo2,56.87866160355932
TiIN,17.697508736018747
MnBe2,161.97749421122953
Cu2As,25.0
LiCuF3,15.100627028090338
Mg2PdRh,52.78395222443618
Ba(CdSb)2,17.70145451578048
MoN,195.58903297339825
TaSiIr,124.858492755918
Fe2Si,119.02579053524316
LiAlGe,50.73384894303357
Li2S,33.15290852535193
CsN3,6.811466989960487
AsPdS,36.466348892005904
MnCoO4,17.884440218248848
ZrNiH3,65.55487252334615
Sc2GaCu,45.871092622713725
Tl2O3,31.6123113727794
SrSiPd,21.10456061264392
FeSb,54.174130472601384
CaMnO3,92.57115048360296
PbSO4,18.222570013373225
YPd3C,17.0
TaAs,96.85707544313856
Si2B2O5,59.97412190594217
In2TeO6,59.6348081356207
Sb2Pt,54.07439783541742
LaN,21.955271177847344
Zr2SeN2,74.68016412396193
SnIr,54.84954335920611
TaIr3,212.50082345779663
FeI2,4.837902325533447
SmSbTe,28.0
Sc3TlB,54.0
TmBi,32.0
YSb,29.0
Sc2AgAu,26.0
K2TiCl6,5.315463919644863
Mg2Tl,11.38747865688126
MnAu2,29.99241119690442
YbZn,7.0
InI,7.03846470686863
Ti2Pd,62.39039949204998
LiZrAu2,10.793267809597282
Na2Pd3O4,34.97525898111189
Ba(MgSb)2,24.18795359113945
CdBiO3,32.73260604980599
SiNi,81.76886025452139
Ba(CoAs)2,35.541906090932564
SrCO3,29.567818326791805
LiTePd2,18.41421218960704
NiPtF6,27.476348914726344
Li(NiO2)2,54.26052079029808
FeWN2,119.2450174172683
TiGaIr2,93.24382554064267
BaMgF4,29.35561046913937
YSiPd2,49.98406442253973
PaZnRu2,32.0
TlFeSe2,6.64463200865246
ThS2,34.0
TiCl3,2.8210018688790752
Li3VS4,6.6347293076440454
MgAlPd2,35.64524445466973
NaAlTe2,4.973231651155445
Ti2TcNi,72.21950863216766
FeP,133.0
Zn3Sn,4.690635665665588
VZnRu2,81.33218921775936
BaZnGe,29.0
Na4CdP2,13.0
Mn2AlRe,129.62084331519958
MnSb,40.01740653728304
LiAl2Pd,47.27688956611237
SrAg2,17.0
Li3(CuO2)2,30.813560272812875
NaNiO2,68.05601121368828
Sm2CuIr,32.0
TaAlRu2,131.26287863432492
SiSnO3,121.0
BaSn5,15.0
Li(Sn3Pd)2,20.88542470295605
Cs4ZnO3,8.0
SrO2,38.0
TbB6,67.0
Si2Ni6B,76.85576977755326
K3VO4,10.943897295045147
DyCoO3,63.74491386952119
VTe2,17.361329236894953
LiZnP,51.0
TiBe12,59.0
Na2SO4,23.0
In2Ni3S2,33.07386441603153
ZrCo,44.198380192811015
SF4,2.4260974444419205
Co(PtO2)3,72.5517072338714
SiRh3,104.51723063434078
BaCu3O4,31.0
LiLa2HO3,73.44871420176831
TiMn2O6,31.73962292238661
MgSc2Cd,31.751176793524607
Fe2As,43.61385498071538
ScSi,70.25318231943261
CrCuS2,41.05072207120156
V3O5,84.55556493711946
Fe3Pt,39.86127364595535
YTiO3,45.0
Ba(CdAs)2,26.655657195615817
NbZnCo2,56.30029617259464
Si3Ru4,103.49229872299158
Li2V3O6,47.48802871670227
Ba(NiP)2,37.08752744732212
In3Pd2,36.626646539075054
Hf3Si2,94.57840565981212
AlGa3N4,107.13687234808464
ScCuO2,46.0
Nb6Co7,94.74231179695214
BI3,0.5192826414444711
ZnNi,62.50738854110586
PCl3,0.4788009821262317
Ti8C5,115.10375090253372
ZrNi3,70.0
Ba2NdCu3O7,53.8178506304702
K2Te2Pt,10.029850083258086
ZrFeSb,69.0
Sr3Ag2,10.048168126765448
Y4Al2O9,64.32002088119646
CsMgBr3,3.9077751690020697
Sn3Pt2,31.698801351417927
Tm3TlC,12.0
BaPd2,25.28993553541052
YCuP2,49.03833625954256
RbI,4.62642129893157
HfSiRh,97.27152238447792
Ti2ZnRe,62.32218708678706
Yb3Os,9.0
Li2MgSn,19.0
MgV2O5,38.32909628506161
HPd,38.43708855584481
AlSn,23.0
TiMnO3,64.4771173854287
BeCu,69.69865040836834
Na(CuS)4,21.56797590943961
MnSi,141.319348431284
NbSe2,13.149817361099414
CeIn3,34.18745418421376
Ti3As,47.3444616637191
DyBr3,2.2345780829150783
Y2NiIr,40.20617664484672
PaIr3,128.0
Mn2VSi,128.0
NbZn2,82.32953578712295
LiTiS2,48.0
CdSbAu,13.964487118254905
Mg(GaO2)2,75.3778413110997
TaBe2,117.79920136540804
Hf2Si,99.6753711578666
NbSnS2,30.0
Ca2PdAu,22.450783014911934
NiSb2,41.77895198650963
Zn2NiRh,57.32733094784261
PdO2,19.18783174730963
Hf2OsPd,46.0
YAl2,60.52102063872793
CeMg3,29.21426401899336
TiGaPd2,5.2794529661697664
