formula,band_gap (MP)
LiCa7(GeH)3,0.7149000000000001
Nd9Ga5Se21,0.7149999999999999
KGdPdO3,0.7150000000000001
TlPO4,0.7150999999999996
Na6Sn4Ge5O22,0.7150999999999998
MoN2Cl5O,0.7151000000000001
GaCuPd2,0.7151000000000001
RbMnP3HO10,0.7153
Sn4TeSe3,0.7153
Na2Ca4Nb4Si3(S3O16)3,0.7154
KZr6BI14,0.7154000000000003
Mg(WO2)2,0.7154999999999996
Sr2FeO3F,0.7155
MgNb2V2O8,0.7155000000000005
K2U2Cr2O15F2,0.7156
DyTlTe2,0.7156000000000002
V5FePbO11,0.7157999999999998
Zn2Ni3O8,0.7159
MnSb3XeF23,0.7159
Te4W3Se2,0.7159
TlInO2,0.7159000000000004
BaP2PdO7,0.7159999999999997
W3(Se2S)2,0.716
MnBiSe2I,0.7160000000000002
Ta2AgF12,0.7160000000000002
Li7Mn2(CoO4)3,0.7160000000000002
K2Co(SO5)2,0.7162
Tb2Cu(GeO3)4,0.7162000000000002
YSbO3,0.7162000000000006
CaMg14SiO16,0.7162000000000006
Hg4Sb2I3,0.7163999999999997
KMnP3HO10,0.7163999999999999
LiCrP2O7,0.7164000000000001
ThSnPt,0.7164999999999999
Ba3TiF12,0.7164999999999999
K2InCl5O,0.7165
Li3V3P8O29,0.7165
MgMnCo3O8,0.7166999999999999
Si(NF2)2,0.7167999999999992
Cu6Mo5O18,0.7167999999999997
GaAgS2,0.7168000000000001
Li4Nb3Fe3(SbO8)2,0.7168000000000001
Ca3AsN,0.7169999999999996
Li7Mn2(CoO4)3,0.7172000000000001
K2CoCl4,0.7173
Ho2Cu(GeO3)4,0.7174
Li9Mn2Co5O16,0.7174
Na2Ti2Se9,0.7175
Ni(C2N3)2,0.7175999999999999
Li4Mn3WO8,0.7176
Ga2CuAgS4,0.7176999999999998
BaYMgFeCuO5,0.7177000000000002
CsHPt2(SO4)4,0.7178
LiMnP3HO10,0.718
Mn(SbO3)4,0.718
Ba2NiF6,0.7181
Cu7H9(SN)4,0.7182
MgV2S4(Br2N3)2,0.7182
CsC10,0.7184999999999997
MgMn2(FeO4)2,0.7185000000000001
Cs2InAsBr6,0.7186999999999999
Ca3Cu3(AsO4)4,0.7189000000000001
Cd(FeO2)2,0.7189000000000001
Sm3InSe6,0.7189000000000001
TeMo2Se2S,0.7189000000000001
Li9Mn2Co5O16,0.7189000000000001
Er2Cu(GeO3)4,0.7189000000000001
K2Dy4Cu4S9,0.7189999999999999
Te2MoWSe2,0.7189999999999999
Li2V3O6,0.7190000000000003
EuAlF5,0.7191000000000001
Ba8Li13GaSb12,0.7191000000000001
Na2Te2O7,0.7191000000000001
MgMn4(FeO4)2,0.7191999999999998
Rb2AlTlH6,0.7191999999999998
Li2GaAg,0.7193
KYSn,0.7193
MgBr6,0.7193000000000005
Li2TiCr3O8,0.7193999999999998
Li9Mn2Co5O16,0.7193999999999998
Na5SnAs3,0.7194000000000003
MgCd2(CoO3)2,0.7195
Er4OsBr4,0.7195000000000005
MgV4O8,0.7197
Cr4(OF3)3,0.7197
Mn4NO8,0.7198
PrLuS3,0.7198000000000002
MgFe6Sb10(IO3)6,0.7198000000000002
Lu2S3,0.7199
Tb(CuTe)3,0.7199
Li4Mn3Nb2Sn3O16,0.7199999999999998
Ba2LuMgSbO6,0.7199999999999998
Mg2CoO4,0.7200000000000002
