formula,target
FeSe2,117.61282761532246
NaClO3,24.632897916646503
ScBr2,33.0
K2PtS2,35.57175731337377
Pm2ZnRu,80.0
ErH3,98.88725140121386
ZrAlCu2,128.44028657833826
MoS2,26.03065305896854
Sr6Cu3N5,61.11761528030834
ScRh3,184.31890329700263
LiDySe2,45.0
LiAg2Ge,65.24699777962162
SbCl3,1.7082612566425783
SrIn2Pd,49.10895173519827
NiAgSe2,71.60922170282905
Li7VP4,30.67352909038695
FeNiPt2,209.97274783926724
SrLi4N2,52.49011206512711
NbAlO4,172.47764498382236
GaCl3,1.3136306931686743
CuCN,27.776175928739573
Ta2CdBi,105.0
Si(CN2)2,105.0
SrPd5,107.98143677416404
BiO2,40.69357971273183
BaAl4,50.96427171466897
ZnCo3C,217.0
Ta3N5,240.661625901508
VZnRu2,227.5346772200004
CuH,108.0
Sr4Cu2O7,95.3384473299245
Cr2As,165.0
PdPb2,66.04928373481636
AlPd2,158.02704232664018
CaSi,53.26869169249734
SnBr2,6.0
Na6WN4,54.64718771998319
ErCu2,81.0
Cs2PbO3,34.720260805840155
Ti3Ga,117.99909681923656
LiNi2Ge,133.09765093519414
Mn3NiO8,83.0
Ca(SiAu)2,92.93028652602791
CaZnSi,54.7335574637965
Cs2WBr6,12.1170600240985
ZnNiSb,102.0
CdAu,92.0
CaMnO3,146.7401310842945
BaTiS3,45.0
TlCuSe2,46.69742050998646
BePd2,166.3551880134797
Sc2IrRh,152.0
LiFe3O4,87.45931830069428
Fe3Ge,176.82490458022357
MgBr2,14.85997665681308
Li3Fe3O8,90.5952076798142
Ta2Ni,215.2817134704576
Yb(MnAs)2,61.087641275287545
Tc3Pd,252.52766235437832
Y(MnSi)2,127.57355747015863
Nb4N5,270.0
FeSi2,180.659903125974
Ca5(InSb3)2,35.57674596293862
Zr2AlN,141.82857153796263
ScRu,144.19768430924003
VClO,22.0
CuAgTe2,16.05627352733034
LiCu3,90.48338768325786
TiNbTc2,221.79660764461417
AsPd2,122.2772431788966
Ho2Ni2Pb,68.0
CoCuO2,208.0
Na2LiAlP2,40.22427523234026
TiS3,18.90217903916935
LiCdAs,38.0
HoAl3,77.0
SrCO3,59.76522077427092
Al23B50,185.6159861662909
ScGe,89.25757955726276
Mn(SbO2)2,41.031320333352426
Ga2S3,30.684352970593743
TiB,207.15786021118296
HfAlPd2,163.46999158724762
CrNi2,228.2938730811069
Re4Si7,209.5116747250608
BaMgF4,57.359031466952544
Zn3(InS3)2,53.0
CaAl9Co2,84.50454066522941
Cu2GeSe3,59.92055061405576
ThS2,90.0
Mn3O4,127.39631761486125
NaCo2O3,86.38249962500687
NiHgO2,106.622747873097
Yb2Sn,35.0
LiIn2Pd,64.8315212927651
Fe8N,182.45776822379185
Y3InC,76.56783560255542
MnAlGe,113.92276515721193
TaAs2,134.3001212003505
CaNi5,125.00282015202548
MnCu2SnS4,66.0
ZrB6,179.27388186159283
Sc(Al2Fe)4,126.4292235537742
MnZnRh2,168.0
Ba(NO2)2,29.00191121795237
NaCNO,26.80005590742068
AlAg2,93.7392870866396
PtCl2,7.891857015536687
Fe3PO7,136.03060716072895
VGaFe2,228.3033375800321
Li2CdSn,36.73894386257699
NbS2,23.27790240407135
Y2Cl3,16.270774959909943
Bi2Pb2Se5,15.060848018863965
NiGePd,157.0
MgMn2O4,139.33759247300026
TiTl3F6,32.0
V2TcRu,255.0029390973355
Zr2Fe3Si,165.00666572549588
USi3,116.55938335872472
AlCr(WO4)2,59.70606190150096
V3Co,210.63075077347185
VTc2Ge,239.4792496003108
NbBr2O,10.803405445900529
KHS,13.78633926526664
BeNi,181.506580434452
Na6CoO4,53.14165100952
LiLa2HO3,123.0091789162732
Mg2As2O7,104.48566516044556
NbZnCo2,184.9904509557636
TiCu,130.4904512642569
ScB2,191.32624987719785
ZrIr,186.5543423586244
V3O5,184.85402103012748
Li3InN2,85.58064157643577
YTiO3,186.0
ScNbTc2,186.0073657114404
PtPb2,71.74657001540156
FeAgTe2,50.72992385555515
Li2V3O6,88.3576118975366
ZnPd,139.09419386694313
MgB4,159.2201727527129
Zr2Si,126.20285316313904
Ca2AuN,58.78896589004602
ScCuO2,137.0
NbNi3,211.0
TaTiMn2,217.39864905102445
Na3P,25.598762214987325
GdSb,41.0
InI,11.942575543683017
InAs,49.15915091766797
FeBPbO4,61.032526469673
Sr3FeN3,56.48229263216059
Zr5Sb3,104.617254331085
HfSbRu,146.9728833527148
Pm2O3,129.0
FeCO3,111.23118848405788
TiNiSb,128.33464748766102
NaTl2Bi,27.32726366593087
TaTiRu2,231.1248120908258
TiAsRh,178.45621830010117
Sr2CuC(NO)2,74.92741110468364
Ca3CrN3,85.84036262305058
Ge4Ir,108.54093728793045
MoRh,266.3002545271557
SrAg,28.0
Rb2CoF4,40.29270105465723
LiHf2Re,135.88492080859572
LiTlPd2,95.85399301285103
Y2Mo2O7,177.0
VPt,242.9735323624506
Ti2FeIr,190.56692895111087
AgN3,15.77173994676107
Cu2O3,159.26943807835443
Sc3SnC,102.0
Mg5Rh2,70.85887235741336
AlV3,159.0
Mn2FeO3,147.59534887597388
TaPt2,243.07134490166007
CuNi3O4,164.36045233894583
Cs2H6Pt,11.358171299075346
LiAlAg2,68.57645845662965
Zn(SbO2)2,44.2849621077124
CaMg2,30.0
Mg(GaO2)2,162.41511957173583
Na3OsN2,40.84029947336755
Sc2CoIr,142.73015904285268
Ta2CS2,35.134555948728625
Ti2CoIr,193.29479532046963
Ca(NiAs)2,83.29367687226633
SrZn2,34.87461381090456
Fe(SiP)4,115.23831492452364
TaTiTc2,229.03702602896848
Ni(PS3)2,11.634345214257884
NdZn2,61.0
VCo2Si,213.11440620183285
TaFeP,264.0
ScAlAg2,97.0
YAsPt,110.4015311904758
Ca5Ag3,29.740650756311737
PrFeO3,162.8490481409021
Ti2InFe,571.0
RbNiCl3,17.710786489504226
Y2ZnRu,86.60181121356474
SrMg2,25.71251463455056
Ca(CoO2)2,165.09350513879468
CaAlAu,66.88735924278342
HfVGe,154.76242965931613
Ba5Al5Sn,29.75759406670388
LiNbN2,111.76963589321058
TaC,323.9362332158224
Cs(OsO3)2,133.0
Cs2PdI6,5.957448784639475
Zn3N,105.09886812706915
ZrPt3,228.0
Zr2AlC,124.0
U(SiRu)2,138.47218130082308
NaAlGe,36.21134569474974
VFeTe,101.0
GdSe,90.26212423570708
ThSe,98.0
ZnCu2GeSe4,58.960818138313215
KAlTe2,16.392772569023805
Hf2Si,141.07162345141813
Yb(MgSb)2,40.84195048423293
Mn(PtO2)3,190.43929844504
SrDy2O4,114.0
SiB4,138.41012383458127
Y(CoB)2,145.60525618098006
CaMgGe,46.82941177923297
LiTl2InCl6,22.278545818268768
TiFe2Sn,181.40110193904096
Li2CuBiO4,97.896601823586
BiI,3.757976596435418
