formula,Temperature,Seebeck (uV/K)
K rt,4.2,0.102
K rt,3.0,-0.135
K rt,4.2,-0.085
La3Ni,280.0,1.2
La3Ni,280.0,0.97
La7Ni3,300.0,2.0
La7Ni3,290.0,2.0
Lu,80.0,-6.6
Lu,1050.0,0.1
Mg0.977Mn0.023,15.0,-2.47
Mg0.977Mn0.023,15.0,-3.63
MnTe2 hp cub,400.0,400.0
Ni3P,250.0,7.5
Pr3Ni,7.5,-0.07
Pr3Ni,60.0,-0.6
V0.16Ni0.84 ht,298.0,16.0
V0.16Ni0.84 ht,298.0,9.5
Y2O3 rt,1000.0,6000.0
Y2O3 rt,900.0,2000.0
PdPb2,310.0,2.2
Yb ht/hp1,298.0,25.1
Yb ht/hp1,298.0,13.0
Yb ht/hp1,298.0,16.7
Yb rt,400.0,17.1
Yb rt,545.0,32.5
Yb rt,545.0,14.9
Yb rt,400.0,27.1
Yb rt,298.0,38.3
Yb rt,298.0,22.5
Yb rt,298.0,19.2
Sm rt,650.0,0.503
Sm rt,690.0,0.189
Sm rt,700.0,0.09
Sm rt,815.0,-0.85
Sm rt,919.0,-0.52
Sm rt,815.0,-0.85
Sm rt,80.0,0.9
Sm rt,780.0,-2.0
Sm rt,298.0,0.9
Sm rt,298.0,4.9
Sm rt,298.0,1.9
Nd3Al,25.0,-1.9
Nd3Al,157.0,2.9
YAl2,280.0,-4.4
As,10.0,-2.0
As,298.0,19.0
As,298.0,-4.7
As,291.0,-3.0
As,83.0,-0.5
As,291.0,18.5
As,83.0,2.3
GaAs rt,12.0,-1000.0
Ca11Sb10,293.0,-4.4
Ca11Sb10,1070.0,20.5
CeSb rt,300.0,1.4
CeSb rt,298.0,-7.8
CeSi2,298.0,17.0
CeSi2,300.0,-55.0
Co0.5Pd0.5,773.0,-26.0
Co0.5Pd0.5,773.0,-15.6
Co0.5Pd0.5,773.0,-8.9
CoSi rt,298.0,-70.1
Cr2Te3 rt,100.0,3.3
Cr2Te3 rt,300.0,-8.3
Cr0.5W0.5,283.0,20.0
Cr0.5W0.5,60.0,1.8
Cr0.5W0.5,54.0,0.0
Cr0.5W0.5,273.0,19.5
Cr0.5W0.5,52.0,-4.1
Cr0.5W0.5,260.0,17.6
Cr0.5W0.5,60.0,0.0
Cr0.5W0.5,195.0,13.35
Cu2Se ht2,450.0,120.0
CuZr2 ht,285.0,3.6
CuZr2 ht,50.0,-0.9
Fe2P,300.0,12.0
Fe2P,300.0,14.5
Fe2P,100.0,7.5
Fe2P,100.0,9.0
Zn126Fe13,298.0,-3.8
Ga2Te5 ht,193.0,82.0
Ga2Te5 ht,425.0,5.0
Ga2Te5 ht,298.0,50.0
GaTe,300.0,873.0
GaTe,300.0,1233.0
LaSi ht,337.0,-2.0
Mg3Sb2 rt,550.0,445.0
Mg3Sb2 rt,298.0,1019.0
Mg3Sb2 rt,290.0,363.0
Zn0.73Mn0.27 ht,15.0,-5.2
Zn0.73Mn0.27 ht,15.0,-4.85
Nd2Sb,298.0,-12.0
Nd4Sb3,298.0,-9.0
Nd5Sb3,298.0,-10.0
NdSb2 hp-ht,298.0,-10.0
NdSb rt,298.0,-8.0
NdSb rt,298.0,-9.3
NiS ht,40.0,5.0
NiS ht,90.0,10.0
NiS rt,300.0,-9.0
NiS rt,50.0,11.0
NiS rt,200.0,62.0
NiS rt,50.0,22.0
NiS rt,280.0,-6.0
Ni0.75Si0.25,298.0,-17.3
Ni0.75Si0.25,298.0,-15.5
Ni0.75Si0.25,298.0,-17.0
Tb3Ni,63.0,0.6
Tb3Ni,40.0,0.8
YNi2,120.0,10.0
YNi2,255.0,12.9
PbS rt,298.0,-273.0
PbS rt,300.0,-205.0
Yb11Sb10 rt,350.0,19.2
Yb11Sb10 rt,1000.0,22.5
Yb11Sb10 rt,340.0,20.0
Yb11Sb10 rt,990.0,22.5
Yb4Sb3,298.0,-23.0
YbSb,298.0,-8.3
SrSi2 rt,337.0,120.0
SrSi2 rt,298.0,135.0
SnTe rt,298.0,26.082
SnTe rt,298.0,33.3
SnTe rt,298.0,29.2
SnTe rt,298.0,29.1
SnTe rt,285.0,22.0
SnTe rt,723.0,80.0
SnTe rt,323.0,45.0
V0.5Cr0.5,75.0,4.6
CuS rt,298.0,5.3
CuS rt,60.0,10.1
Zn6.67Sb5 rt,300.0,109.8
Zn6.67Sb5 rt,298.0,112.0
Zn6.67Sb5 rt,673.0,199.0
Zn6.67Sb5 rt,298.0,31.0
Zn6.67Sb5 rt,298.0,110.8
Zn6.67Sb5 rt,298.0,133.0
Zn6.67Sb5 rt,297.0,118.0
Zn6.67Sb5 rt,297.0,111.7
Zn6.67Sb5 rt,298.0,110.8
Zn6.67Sb5 rt,268.0,94.0
Zn6.67Sb5 rt,673.0,200.0
Zn6.67Sb5 rt,298.0,148.0
Zn6.67Sb5 rt,300.0,160.0
Zn6.67Sb5 rt,290.0,140.0
Zn6.67Sb5 rt,298.0,110.8
Zn6.67Sb5 rt,323.0,51.0
LaAl2,67.0,6.2
LaAl2,280.0,12.0
La3Al ht,280.0,-0.5
La3Al ht,105.0,1.5
Mn0.018Al0.982,15.0,-0.26
Mn0.018Al0.982,15.0,-0.2
AuTe2,450.0,-50.0
Bi2Se3 rt,400.0,-13.5
Bi2Se3 rt,400.0,12.8
Bi2Se3 rt,100.0,-36.0
Bi2Se3 rt,298.0,-61.0
Bi2Se3 rt,298.0,60.0
Bi2Se3 rt,300.0,-120.0
Bi2Se3 rt,500.0,-131.0
Bi2Se3 rt,2.0,-0.8
Bi2Se3 rt,2.0,-13.0
Bi2Se3 rt,405.0,-255.0
Bi2Se3 rt,490.0,-235.0
Bi2Se3 rt,270.0,-200.0
Bi2Se3 rt,300.0,-53.0
Bi2Se3 rt,300.0,-57.0
Bi2Se3 rt,6.0,1.9
Bi2Se3 rt,115.0,-6.2
Bi2Te3 rt,294.0,223.0
Bi2Te3 rt,300.0,313.0
Bi2Te3 rt,300.0,-196.0
Bi2Te3 rt,400.0,-175.0
Bi2Te3 rt,575.0,-43.0
Bi2Te3 rt,298.0,229.0
Bi2Te3 rt,298.0,-140.0
Bi2Te3 rt,298.0,70.0
Bi2Te3 rt,298.0,-20.0
Bi2Te3 rt,693.0,-60.0
Bi2Te3 rt,298.0,-153.0
Yb4Bi3,298.0,-16.0
Yb4Bi3,300.0,16.0
Yb4Bi3,300.0,60.0
YCo2,300.0,-10.0
YCo2,20.0,1.9
YCo2,60.0,-2.6
YCo2,60.0,-1.9
YCo2,298.0,-14.0
CrN rt,873.0,-200000.0
CrSi,298.0,-15.0
CrSi2,600.0,194.0
CrSi2,600.0,124.0
CrSi2,298.0,49.0
CrSi2,298.0,99.0
PtGa2 ht,298.0,3.06
PtGa2 ht,37.0,3.73
Mg2Ge rt,325.0,550.0
In2S3 rt,212.0,280.0
In2S3 rt,303.0,94.0
InSb rt,340.0,-29.4
InSb rt,220.0,-22.0
InSb rt,10.0,-1.5
NbSb2,298.0,20.0
Ni3S4 rt,300.0,-9.0
NiS2 rt,195.0,450.0
NiS2 rt,500.0,0.0
NiS2 rt,600.0,-20.0
NiS2 rt,200.0,440.0
NiS2 rt,600.0,-22.0
Ta2Ni,310.0,2.7
Pr2O3 rt,873.0,10.0
Pr6O11 rt,873.0,-50.0
Pr7O12 rt,873.0,9.0
SnO2 rt,298.0,300.0
W10O29 ht,90.0,-15.0
W10O29 ht,,-30.0
W10O29 ht,250.0,-30.0
W10O29 ht,50.0,-13.5
WO2,15.0,-0.3
WO2,298.0,10.4
WO3 rt,223.0,-3000.0
WO3 rt,194.0,-3860.0
WO3 rt,298.0,-1200.0
PbSe,298.0,-200.0
PbSe,298.0,-200.0
PbSe,298.0,212.0
PbSe,250.0,-198.0
PbSe,250.0,-255.0
PbSe,298.0,-100.0
PbSe,300.0,-95.0
PbSe,298.0,-163.0
PbSe,298.0,175.0
PbSe,400.0,-74.0
PbSe,250.0,-149.0
PbSe,90.0,-23.0
PbSe,298.0,210.0
PbSe,300.0,-153.0
Pd,298.0,1.6
Pd,298.0,0.2
Pd,298.0,0.04
PdS,300.0,-250.0
RuTe2 ht,300.0,200.0
RuTe2 rt,298.0,-180.0
RuTe2 rt,105.0,100.0
RuTe2 rt,500.0,220.0
Sb2Se3 rt,298.0,1000.0
Sb2Se3 rt,298.0,1000.0
Sb2Se3 rt,298.0,-880.0
Tl2Te,330.0,100.0
CeAl3 rt,300.0,7.0
CeAl3 rt,300.0,17.5
CeAl3 rt,300.0,8.5
PtAs2,103.0,143.0
PtAs2,475.0,375.0
PtAs2,300.0,200.0
B13C2,300.0,230.0
B13C2,557.0,180.0
Bi2Te,400.0,71.0
BiTe,400.0,-46.3
LaB6,298.0,-5.0
LaB6,300.0,-5.0
LaB6,290.0,-5.0
LaB6,2.0,-0.35
LaB6,11.0,-1.25
LaB6,60.0,0.72
MoB2 rt,300.0,3.2
NbB2,297.0,-2.0
W2B,310.0,-3.0
WB2 rt,300.0,3.2
CeIn3,3.0,-3.0
CeIn3,300.0,8.0
CeIn3,300.0,16.0
CeIn3,48.0,27.7
CeIn3,300.0,9.5
Ce7Ni3,290.0,5.5
CeNi,298.0,17.5
CeNi,800.0,8.0
CeNi,298.0,28.0
CeNi2,298.0,17.0
CeNi2,600.0,7.0
CeNi5,300.0,8.0
CeNi5,500.0,17.0
CeNi5,100.0,5.5
CeNi5,300.0,0.8
NdCo2 rt,294.0,-7.7
Pr3Co,10.0,0.5
Co9S8 rt,273.0,-4.0
CoSb2 rt,298.0,40.0
CoSb2 rt,325.0,20.0
CoSb2 rt,75.0,30.0
Co0.83Te,298.0,-5.45
Cs4Sn23,298.0,-304.0
Cu0.86Sn0.14 ht,300.0,0.645
Cu0.86Sn0.14 ht,300.0,0.155
DySb rt,298.0,-8.5
Fe0.5Pd0.5 rt,773.0,-26.2
Fe0.5Pd0.5 rt,773.0,-20.1
Fe0.5Pd0.5 rt,773.0,-3.6
FeS2 ht,200.0,610.0
FeS2 ht,500.0,450.0
FeS2 ht,298.0,-320.0
FeS2 ht,298.0,-230.0
FeSe rt,298.0,15.0
FeSe rt,100.0,-25.0
FeSe rt,300.0,8.0
FeSi,55.0,500.0
FeSi,100.0,-20.0
FeSi,50.0,550.0
FeSi,5.0,80.0
FeSi,33.0,1200.0
FeSi2,298.0,300.0
GeTe ht,720.0,148.0
NbH rt,100.0,-1.4
NbH rt,320.0,-6.0
Nd3In rt,300.0,0.1
Nd3In rt,30.0,1.3
Mg2Sn,315.0,-78.9
Mn3O4 ht,1440.0,165.0
Mn3O4 ht,1615.0,148.0
Mn3O4 rt,1210.0,415.0
Mn3O4 rt,1390.0,280.0
Mn3O4 rt,835.0,690.0
Mn3O4 rt,605.0,-540.0
MnO rt,470.0,1260.0
MnO rt,300.0,1620.0
Mn11Si19,298.0,170.0
Mn11Si19,298.0,100.0
MnSi rt,298.0,35.0
MnSi rt,298.0,30.8
MnSi rt,298.0,28.0
MnSi rt,300.0,28.75
MoO3 rt,960.0,640.0
MoO3 rt,400.0,-30.0
MoSi2 rt,330.0,0.8
MoSi2 rt,725.0,4.5
MoSi2 ht,330.0,60.0
MoSi2 ht,725.0,89.0
NbO2 rt,670.0,-520.0
NbO2 rt,965.0,-240.0
NbO2 rt,300.0,-570.0
NiO ht,630.0,340.0
NiSe ht,285.0,-7.0
Zr2Ni,310.0,6.0
Tb11O20 rt,473.0,-92.0
Tb11O20 rt,573.0,-101.0
Tb11O20 rt,673.0,-102.0
Tb11O20 rt,773.0,-94.0
Tb11O20 rt,873.0,-78.0
Tb11O20 rt,895.0,-60.0
Tb11O20 rt,600.0,-117.0
Tb2O3 cub,380.0,2.0
Tb2O3 cub,473.0,1.0
Tb2O3 cub,473.0,200.0
TbO2,473.0,-78.0
TbO2,500.0,-80.0
TiO2 rut,110.0,-280.0
TiO2 rut,400.0,-675.0
V2O3 rt,,6.0
VO ht,298.0,30.0
VO ht,298.0,14.0
VO ht,298.0,4.0
VO ht,298.0,-7.0
VO ht,300.0,-10.0
VO ht,300.0,-8.0
VO ht,400.0,-9.5
VO ht,80.0,-5.2
VO ht,300.0,-4.0
VO ht,300.0,1.0
VO ht,298.0,7.2
VO ht,,25.0
W18O49 ht,250.0,-17.5
W18O49 ht,1180.0,-50.0
PbTe rt,298.0,-265.0
PbTe rt,298.0,-237.0
PbTe rt,298.0,-272.0
PbTe rt,298.0,-62.9
PbTe rt,300.0,-126.0
PbTe rt,300.0,300.0
PbTe rt,300.0,-225.0
PbTe rt,298.0,240.0
PbTe rt,298.0,200.0
PbTe rt,320.0,243.0
PbTe rt,300.0,-192.0
PbTe rt,298.0,-102.33
SnSe rt,298.0,47.8
SnSe rt,298.0,400.0
SnSe rt,300.0,-165.2
SnSe rt,300.0,-161.6
SnSe rt,300.0,-44.5
SnSe rt,300.0,-96.2
VSe2 rt,287.0,14.8
VSe2 rt,298.0,14.75
VSe2 rt,298.0,14.8
SmS,303.0,-81.0
SmS,303.0,0.0
SmS,303.0,24.0
SmS,303.0,20.0
SmS,808.0,-133.0
SmS,808.0,0.0
SmS,988.0,-140.0
SmS,1108.0,0.0
TiS3,100.0,-660.0
TiS3,298.0,-550.0
TiS3,83.0,-1100.0
TiS3,165.0,-700.0
Tl5Te3,325.0,18.0
TlTe rt,330.0,44.1
Tl5Te3,300.0,10.0
AgGd,20.0,18.5
AgGd,213.0,15.8
CeAl2,300.0,14.0
CeAl2,300.0,27.0
BaGe5 rt,298.0,-170.0
