formula,Temperature,Seebeck (uV/K)
Si0.9Ge0.1,1000.0,273.0
Si0.8Ge0.2,300.0,137.0
Si0.8Ge0.2,400.0,161.0
Si0.8Ge0.2,700.0,218.3
Si0.8Ge0.2,1000.0,254.0
Si0.79936Ge0.19984B0.0008,300.0,127.631
Si0.79936Ge0.19984B0.0008,400.0,151.36
Si0.79936Ge0.19984B0.0008,700.0,209.823
Si0.79936Ge0.19984B0.0008,1000.0,248.114
Si0.7956Ge0.1989P0.0055,300.0,-122.807
Si0.7956Ge0.1989P0.0055,400.0,-150.045
Si0.7956Ge0.1989P0.0055,700.0,-230.877
Si0.7956Ge0.1989P0.0055,1000.0,-281.446
TiNiSn,300.0,-200.0
TiNiSn,400.0,-245.0
TiNiSn,700.0,-233.0
TiNiSn,1000.0,-155.0
Bi2Sr2Co2O8,300.0,108.88
Bi2Sr2Co2O8,400.0,120.0
Bi2Sr2Co2O8,700.0,171.43
Bi2Sr2Co2O8,1000.0,293.62
K2Bi8Se13,300.0,-196.16
K2Bi8Se13,300.0,-219.62
Ca2Co2O5,300.0,135.09
Ca2Co2O5,400.0,142.36
Ca2Co2O5,700.0,173.46
Ca2Co2O5,1000.0,207.27
ZnO,,-501.65
ZnO,,-549.67
Al0.02Zn0.98O,,-289.98
Al0.02Zn0.98O,,-331.35
Al0.02Zn0.98O,,-412.05
Ni0.02Zn0.98O,,-206.81
Ni0.02Zn0.98O,,-204.62
Ni0.02Zn0.98O,,-229.87
Zn0.9604Al0.0196Ni0.02O,,-362.53
Zn0.9604Al0.0196Ni0.02O,,-434.32
Zn0.9604Al0.0196Ni0.02O,,-443.73
WO2.9,300.0,-28.21
WO2.9,400.0,-31.41
WO2.9,700.0,-45.45
WO2.9,1000.0,-66.47
WO2.722,300.0,-25.74
WO2.722,400.0,-25.21
WO2.722,700.0,-27.03
WO2.722,1000.0,-33.86
La2CuO4,300.0,217.6
La1.61Sr0.39Cu0.94Ti0.06O4,300.0,130.0
La1.85Sr0.15Cu0.94Ti0.06O4,300.0,200.0
La1.73Sr0.27Cu0.94Ti0.06O4,300.0,20.0
La1.69Sr0.31Cu0.94Ti0.06O4,300.0,5.0
La1.67Sr0.34Cu0.94Ti0.06O4,300.0,6.3
La1.95Sr0.05CuO4,300.0,149.91
La1.95Sr0.05CuO4,400.0,140.0
La1.95Sr0.05CuO4,700.0,120.0
La1.95Sr0.05CuO4,1000.0,100.0
La1.9Sr0.1CuO4,300.0,54.72
La1.9Sr0.1CuO4,400.0,50.0
La1.9Sr0.1CuO4,700.0,40.0
La1.9Sr0.1CuO4,1000.0,30.0
La1.85Sr0.15CuO4,300.0,25.0
La1.85Sr0.15CuO4,400.0,20.0
La1.85Sr0.15CuO4,700.0,2.0
La1.85Sr0.15CuO4,1000.0,1.0
La1.725Sr0.28CuO4,300.0,0.5
La1.725Sr0.28CuO4,400.0,0.1
La1.725Sr0.28CuO4,700.0,0.1
La1.725Sr0.28CuO4,1000.0,0.1
TlCr5Se8,300.0,215.0
TlCr5Se8,400.0,240.0
TlCr5Se8,700.0,295.0
LiMn2O4,300.0,-175.031
LiMn2O4,400.0,-147.0
LiMn2O4,700.0,-100.68
LiMn2O4,1000.0,-84.81
CuFe0.9Cr0.1O2,300.0,277.076
CuFe0.9Cr0.1O2,400.0,299.003
CuFe0.9Cr0.1O2,700.0,321.429
CuFe0.9Cr0.1O2,1000.0,324.917
CuRh0.9Mg0.1O2,300.0,97.6744
CuRh0.9Mg0.1O2,400.0,115.116
CuRh0.9Mg0.1O2,700.0,145.515
CuRh0.9Mg0.1O2,1000.0,167.94
CuCr0.98Mg0.02O2,300.0,300.0
CuCr0.98Mg0.02O2,400.0,321.429
