formula,Temperature,Rho (Ohm.cm)
Y0.5Bi1.5Ru2O7,1000.0,0.001190611
Ba8Ga16Ge30,700.0,0.00161
Cu1.98Ag.02Se,300.0,2.2699E-03
Zn0.9975Al0.0025O,300.0,0.296735905
Cu2.1Zn0.9SnSe4,300.0,0.001163
Cu2ZnGe0.95In0.05Se4,400.0,0.00571
Cu2ZnSn.90In0.10Se4,700.0,1442622.951
Mg.305(Sb.03Bi.07).1999Te.001,700.0,0.001876031
BI.4Sb1.580Ge.020Te3,700.0,1.5090E-03
Zn0.97Al0.03O,1000.0,0.0170727
Bi.048SB.152Te.3+.005wt%PbTe,300.0,5.5874E-04
Cu1.97S,700.0,7.2629E-03
Mg2Si0.98Ag0.02,300.0,1.24
Na0.02PbTe,400.0,0.000569421
Bi2O2Se,400.0,#DIV/0!
Zr0.98Nb0.02NiSn,700.0,0.00087395
Tl0.02Pb0.98Te,300.0,0.00239394
SrTi0.8Nb0.2O3,300.0,0.001451379
NbCoSn,1000.0,0.00259029
(BiSbTe1.5Se1.5).997Ag.003,700.0,9.8751E+01
Cu2ZnSn.90In0.10Se4,300.0,2606557.377
Zr0.5Hf0.5NiSn1.998Sb0.002,300.0,0.002408
Cu0.01Bi0.5Sb1.48Te3,300.0,0.000619066
CuInTe2(annealed 7 Days),400.0,0.007436097
Ca0.92La0.08MnO3,1000.0,0.015706625
Ba8Ga16Ge30,300.0,0.002817
CeFe2Co2Sb12,300.0,3.91E-03
CeFeCo3Sb12,400.0,0.00985308
CaMnO3,400.0,0.460937
Cu1.98Se,1000.0,0.00325
Mg2Si0.6Ge0.4Bi0.02,1000.0,2.20E-03
Mo6Te6S2,400.0,8.87E-04
Zr0.15Hf0.15Ti0.7NiSn,700.0,0.0016849
Cu3Sb.98Sn.02Se4,700.0,0.003866354
(BiSbTe1.5Se1.5).994Ag.006,400.0,7.6287E+01
La0.45Ca2.55Co4O9,400.0,0.03725033
Cu1.98Ag.02Te,400.0,4.6559E-04
(BiSbTe1.5Se1.5).991Ag.009,300.0,7.9578E+01
Cu2ZnGe0.95In0.05Se4,300.0,0.00686
Ca0.9Y0.1MnO3,700.0,0.00591553
La3Te3.8Sb0.2,400.0,0.000589
Bi0.5Sb1.5Te3+.5wt%Pb,300.0,0.001326453
La0.98Sr0.02CoO3,400.0,0.033806484
La.95F.05OBiS2,300.0,0.007137978
Bi.98Ca.01Pb.01CuSeO,400.0,0.005480977
Ba0.6Sr0.4PbO3,400.0,0.00127204
Bi.84Ca.08Pb.08CuSeO,300.0,0.00870334
Zn0.95Al0.05O,1000.0,0.018318575
Cu3Sb1Se4,400.0,0.033083225
Cu2S.5Te.5,400.0,2.9764E-03
Ca0.9In0.1MnO3,700.0,0.230797637
Ti2FeNiSb1.7Sn0.3,1000.0,0.003554924
Ca3Co4O9,1000.0,0.008968
Cu3Sb1Se4,700.0,1.6187E-06
In2O3,300.0,0.0135192
Bi2O2Se,700.0,0.294285714
Zn0.97Al0.03O,1000.0,0.019382024
Ca0.96La0.04MnO3,400.0,0.015255507
Na.98CoO2,300.0,0.01133
Ca0.7Tb0.3MnO3,1000.0,0.00558501
Si0.8Ge0.2,300.0,0.001495
YbCd2Sb2,700.0,0.003200041
LaOBiS2,400.0,4.300771208
Pb0.96Sr0.4TeNa0.2,300.0,0.000678887
Pb0.96Sr0.4TeNa0.2,700.0,0.002123142
Pb0.98Sr0.2TeNa0.1,700.0,0.003012048
LiMn2O4,400.0,85.3104
Ba8Ga16Ge30,300.0,0.000662
Bi2YO4Cu2Se1.80I.20,300.0,0.001795635
Bi.48SB1.52Te3+2%(MnSb2Se4),400.0,0.001707317
Ba8Ni4Ge42,300.0,0.003446085
Sr0.9Y0.1TiO3,1000.0,0.006614
Ca4.75Na0.25Al2Sb6,400.0,0.00544
Ca0.9Pb0.1MnO3,400.0,0.052469201
Cu2Se,300.0,1.1272E-03
WO2.722,1000.0,0.000304651
BI.4Sb1.590Ge.010Te3,400.0,1.5090E-03
Cu3Sb.98Bi.02Se4,700.0,0.017984649
CuCr0.99Mg0.01O2,700.0,0.472214
CuCr0.98Mg0.02O2,300.0,1.04523
Mo3Te4,1000.0,7.23E-04
Cu2ZnSnSe4,400.0,409836.0656
CuRh0.99Mg0.01O2,300.0,0.1314
Sb1.95In0.05Te3,700.0,0.0015516
La2.99Te4,400.0,0.00061
Cu3Sb0.9Bi0.1S4,300.0,0.037459344
CaMn6.5Cu0.5O12,700.0,0.0500867
Ti1.0Hf1.0FeNiSb1.7Sn0.3,700.0,0.003457815
Sm0.5Ca0.5MnO3,300.0,0.00955255
Ca3AlSb3,300.0,1.199
SrNb0.15Ti0.85O3,300.0,5.017057997
Bi1.88Ta0.12O2,300.0,0.0071777
ZrNiSn,400.0,0.008742023
Cu3Sb.99Bi.01Se4,700.0,2.2112E-06
Li0.0066Ni0.9944O,700.0,0.031620853
Cu2.075Mg0.925SnSe4,400.0,0.006007016
Bi0.4Sb1.590Ge0.01Te3,400.0,0.00067
Sr0.9Y0.1TiO3,300.0,0.000878
BaCu5.9SeTe6,300.0,150.5617978
Sr0.146Ga0.285Ge0.569,300.0,0.00194
Yb14MnSb11,700.0,0.0034632
In1.9Ge0.1O3,400.0,0.00143465
Fe1.98Sn0.02O3,1000.0,0.162304991
SrNd0.17Ti0.83O3,1000.0,0.0041841
Sr3Ti1.6Nb0.4O7,300.0,0.001858736
CaMnO3,1000.0,0.087496719
CuCr0.99Mg0.01O2,400.0,1.75771
LaFe3CoSb12,400.0,0.00183033
CaMn0.98Ru0.02O3,700.0,0.0241829
CuInTe2(annealed 3 Days),700.0,0.007046172
Zr0.99Nb0.01NiSn,1000.0,0.001214574
Ba8Ni2.97Ga3.94Ge39.09,1000.0,0.002250752
MgAg0.97Sb.98Bi.01,700.0,0.002165563
Cu3Sb1Se4,300.0,3.5141E-06
CaYb0.15Mn0.85O3,700.0,0.00481615
Bi0.5Sb1.5Te2.25Se.75,700.0,0.00584
BaCu5.9STe6,400.0,75.50561798
CeFe2Co2Sb12,700.0,0.0048781
CaMnO3,1000.0,0.0834071
Ba0.08La0.05Yb0.04Co4Sb12,300.0,0.000408131
Zr0.25Hf0.25Ti0.5NiSn,700.0,0.00188843
SrNd0.2Ti0.8O3,300.0,0.001838235
Pb0.98TeNa0.2,700.0,0.002252252
Fe1.98Sn0.02O3,300.0,1
CaMn0.96Ru0.04O3,1000.0,0.0126982
NaCo2O4,300.0,2.11E-03
Fe1.96Ti0.04O3,700.0,0.09422584
Zr0.5Hf0.5NiSn1.994Sb0.006,400.0,0.0012526
SrNd0.17Ti0.83O3,700.0,0.002269632
YbCd1.6Mg0.4Sb2,400.0,0.007568877
Bi0.5Sb1.5Te3,300.0,0.002585549
LaOBiS.12Se.08,400.0,2.483290488
Sr2Ti0.8Nb0.2O4,300.0,0.004761905
In1.994Ge0.006O3,400.0,0.000942337
Cu2Se,700.0,0.0042
Bi2YO4Cu2Se1.85I.15,700.0,0.028730159
Ba8Ni1.90Ga8.04Ge36.06,400.0,0.002297114
La2.74Te4,700.0,0.00425
Zr0.35Hf0.35Ti0.3NiSn,700.0,0.00234825
Cu2ZnGeSe4,700.0,0.01269
Ba8Ni2.97Ga3.94Ge39.09,700.0,0.00386735
Sr0.9La0.1TiO3,400.0,0.001650323
Cu2HgSnSe2Te2,300.0,0.002341634
CuInTe2(annealed 7 Days),1000.0,0.006158482
LaOBiS.10Se.10,700.0,4.030848329
CaMn0.98Nb0.02O3,300.0,0.02
Sn.985Na.015Se (hole doped)   A axis,700.0,2.3781E-02
Bi2Te2.6Se0.6,400.0,9.3963E-04
BiSbTe1.5Se1.5,400.0,7.5249E+01
In2O3,400.0,0.0149487
Cu2Te,300.0,1.8030E-04
Cu1.2Ag1.8SbSe4,400.0,0.01338174
Zn0.99Al0.01O,300.0,0.006778
Pb0.96Sr0.4TeNa0.2,400.0,0.000844595
Ca0.94La0.06MnO3,400.0,0.012167108
Cu3Sb0.98Bi0.02S4,700.0,0.16056338
CaMnO3,700.0,0.233107
Bi2YO4Cu2Se1.9I.10,300.0,0.005746032
Ca2.97Na0.03AlSb3,700.0,0.0172
Bi1.92Ta0.08O2,700.0,0.010842105
Cu3Sb.9Bi.1Se4,300.0,0.054034765
Ca2.7Bi0.3Co4O9,300.0,0.01035
La2.74Te4,400.0,0.00268
Cu3Sb0.9Bi0.1S4,400.0,0.029829364
CuCr0.95Mg0.05O2,300.0,0.0754474
BiCuSeO,400.0,0.002852018
Bi2Sr2Co2O8,300.0,0.0021239
CuCr0.97Mg0.03O2,700.0,0.0485233
WO2.722,300.0,6.45796E-05
Yb1.4Bi0.6Ru2O7,1000.0,0.00297746
Bi.80Ca.10Pb.10CuSeO,300.0,0.009983099
Bi0.5Sb1.5Te2.5Se.5,300.0,0.000624
Si0.8Ge0.2,1000.0,0.003342
Bi0.4Sb1.580Ge0.02Te3,700.0,0.00066
Pr0.5Ca0.5MnO3,300.0,0.0552875
CuInTe2(annealed 7 Days),700.0,0.005835551
Ca2.94Na0.06AlSb3,400.0,0.0337
CaMnO3,1000.0,8.44E-02
CaMnO3,700.0,0.103099
BaPbO3,300.0,0.000433737
Bi92Sb8,400.0,0.000155432
Ca0.9Tb0.1MnO3,700.0,0.00831725
BI.4Sb1.590Ge.010Te3,300.0,9.1711E-04
BI.4Sb1.6Te3,700.0,2.2745E-03
BiSbTe+(T2O3)6%,300.0,2.0533E-03
W0.99O2.97Co0.02O0.03,700.0,86.02520539
Ba8Ga16Ge30,700.0,0.00141
Cu2S,700.0,6.0110E-01
YbBiRu2O7,400.0,0.00169298
Bi0.5Sb1.5Te3+1.0wt%Pb,400.0,0.001022223
Bi.38Sb1.62Te3,700.0,2.0058E-03
CuCr0.99Mg0.01O2,300.0,6.11207
Cu3Sb.96Sn.02Bi.02Se4,400.0,0.003580318
Fe0.978Co0.00196Si1.96Y0.12O0.18,1000.0,0.0214
ZnO,700.0,1.786
Cu3Sb1Se4,400.0,0.034020918
(BiSbTe1.5Se1.5).988Ag.012,700.0,1.2472E+02
CuRh0.96Mg0.04O2,300.0,0.011
Znx0.12Bi0.46Sb1.54Te3.12,400.0,0.0011787
Nd2Ru2O7,300.0,1.536
Cu3Sb.96Bi.04Se4,400.0,5.3590E-06
Ba0.06La0.05Yb0.02Co4Sb12,400.0,0.000633605
Ca2Co2O5,700.0,0.00144731
Fe1.94Ti0.06O3,300.0,0.41152094
CeFe4Sb12,700.0,0.00130209
CaYb0.4Mn0.6O3,300.0,0.0152199
Bi.48SB1.52Te3+1%(MnSb2Se4),700.0,0.002317073
Bi.48SB1.52Te3+4%(MnSb2Se4),400.0,0.002642276
Mg3.07Sb1.5Bi0.46Se.04,300.0,0.013623431
CuCrO2,700.0,3.4081
WO3,300.0,1402.658318
Cu3Sb.98Sn.02Se4,300.0,0.002214308
Znx0.03Bi0.46Sb1.54Te3.03,400.0,0.0016332
