,formula,target
1568,KC24,16.64872390202049
622,Cu0.25Zn0.5In0.25S,1.6094379124341003
702,Sr0.5La0.5Ti0.5Cr0.5O3,-3.7722610630529876
280,InSe,-4.390058806371146
1635,BaY2WO7,-9.811820364010304
496,LaCrO3,-1.4271163556401458
311,Ag3YCl6,-8.517193191416238
131,GeSb2Te4,12.206072645530174
251,PbTe0.5Se0.5,2.2082744135228043
1454,Zn0.9LaZr0.1PO,3.332204510175204
494,CaC6,13.676248490630767
1092,K2Bi8Se13,0.47000362924573563
764,Ga0.05SnBi1.95Te4,11.666504552898529
804,K1.4Sn2.2Bi7.4Se14,12.206072645530174
674,In0.30Pb0.35Sn0.35Te,11.512925464970229
1093,Cs4Bi2P5Se15,-16.379460415092726
654,Cu0.8Ti0.2Fe2O4,-6.868534565828856
1194,Fe1.10Co0.02Te,12.037653993905211
359,NbS2,8.584851839890053
671,LaFe0.5Ni0.5O3,4.605170185988092
890,Mo3Sb5.4Te1.6,12.066810578196666
742,Mn0.3Fe0.7BiO3,0.3038014543316642
1159,Cs0.38Cu2.62LaTe3,10.907789161732996
239,In1.8Sn0.2O3,12.611537753638338
350,EuB6,11.03488966402723
894,Li1.33Mg0.33PS3,-8.947976107508692
916,Mg0.05CuCr0.95O2,6.907755278982137
661,Nb0.5Fe0.5PbO3,-9.210340371976182
959,NaEuTi2Ta2WPbO15,-13.122363377404328
1144,KHf0.12Ti0.88PO4O,-5.9638493800750085
631,Sr2VO4,4.2626798770413155
701,Ba6Sn1.68Ge23.32,12.043553716032399
1065,WMnPb2O6,-15.424948470398375
845,Pb0.35Sn8.65Bi4Se15,6.907755278982137
575,BaEr2NiO5,-7.4524824544238095
955,BaNdCo2O5.85,10.106428396532818
27,TiN,13.928839243271277
425,Ba2Cu3SmO7,10.933106969717286
868,Sr0.9La0.1PbO3,9.92378025580389
839,Rb0.5Pb0.5F1.5,-6.56416557459206
1413,Zn0.5Ce1.5Nb0.5Bi1.5O7,-26.272611958298192
487,Ag0.16Ge0.67Sb0.17Te,11.06663836234181
1134,Li2Rh6Bi0.78O12,8.809862805379057
1003,Re3GeAs6,11.608235644774552
1665,BaFe3.7Co0.3In0.5Sb12,12.535376392672774
1079,BaCuSmFeO5,-1.0498221244986778
495,BaSnF4,-5.298317366548036
1204,CuMo3Cl7,-11.512925464970229
90,SmS,8.216088098632316
1465,W0.8MnRe0.2Pb2O6,-13.815510557964274
262,Mg2Sn0.7Si0.3,6.063785208687608
1518,Ge8Bi2Te11,11.48246625748552
846,Ag0.24Sb10.76Te4,10.981897133886719
148,Bi2S3,1.0303334479148152
1210,Pr2RuCoO6,-0.2231435513142097
390,AgTaS3,4.343805421853684
78,Ti3O5,8.160518247477505
863,Zn2EuSb2,11.641318679738628
1559,Mo3Mn0.05Sb5.4Te1.6,12.013700752882718
1602,RbC24,16.523560759066484
35,CuSe,12.367340793126296
1507,WMo5SnS8,11.77528972943772
802,H4Cs3PO4SO42,-12.850429661920687
892,Tm2Al3Si2,15.201804919084164
1463,LiZr0.6Ti1.4PO43,-6.21410822338054
323,V0.5Rh0.5O2,4.02535169073515
834,Na12Al12Si12O48H2O27,-4.199705077879927
6,Si,-0.5108256237659907
1051,Cu4YbRh0.19In0.81,12.206072645530174
452,AgCd2GaSe4,-15.01948336229021
1675,K0.39V2O5H2O0.6,-2.7630345094349695
1472,Ba4Ga8Ge15,11.517913006481267
216,Zn0.5Cd0.5Se,-13.815510557964274
774,KCaF3,2.6741486494265287
395,TlGaSe2,-5.744604469176488
1310,Cu2Te0.7Se0.3,12.206072645530174
503,LiIO3,-7.487573774235079
383,In0.1As1.9Se2.95,-23.536676553706446
